Hinglish,English
vah france mei set ho gaya hai. WWII. Yah British sena ke bare mei hai.churchil ne apni upasthiti darj karai hai.,It's set in France. WWII. It's about the British Army. Churchill makes an appearance.
"Mujhe lagta hai Morgan Freeman sach mein ek G-d hai, agar wahan hai to.","I hope that Morgan Freeman is actually G-d in reality, if there is one."
"Han mujhe bhi, Rotten Tomatoes aur Metacritic ki tarah lag rha hai movie to achhe se score nhi kiya...","Yeah same here, looks like Rotten Tom atoes and Metacritic didn't score the movie very well..."
Maine CinemaScore ke baare mein sunna nhi lekin ve iske baare mein bahut sochte hai,I've never heard of CinemaScore but they seem to think highly of it
Main Rotten Tomatoes ke saath zyada familiar huin. Lekin wo kehte hai Jim Carrey bahut hilarious hai iss movie mein,"I'm more familiar with Rotten Tomatoes. But they do say Jim Carrey is hilarious
 in this movie "
"Maine Lisa Ann Walter ke baare mein kabhi nhi suna, lekin mujhe lagta hai ki wo Jennifer Aniston ki sister ya mother ka role play kr rahi hai. Yahan nhi bataya gya wo G-d hai ya nhi.","I've never heard of Lisa Ann Walter, but I assume she plays Jennifer Aniston's sister or mother in this. It doesn't say if they find out if he is G-d or not"
"yaah bhi, mein side characters ke baare mein kuch suna nahi. muje philip baker hall ka koi idea nahi. voh simiar character share kar raha hein uska last name tho uska friend neh play kiya hein","Same here, never heard of the side characters. I have no idea who Philip Baker Hall is. He isn't sharing any simiar character last name so I'm guessing he might play a friend"
kya aapko get bogged down in treacle ke baare mein kuch patha hein? muje uska review bhi nahi patha hein,"Do you know what it means to ""get bogged down in treacle""? I don't know what to make of that review"
"muje kuch idea nahi hein, lekin carrey ka acting is movie me tho lacked hein. second reviews bhi itna acha nahi jo jim ne kiya voh ache actor hein.. carrey tho probably ache nursed hein dono ache actor future mein ban jaayenge. dono ka review kaafi ache skills hein","I have no idea what that word means, but I'm assuming they are trying to say the movie lacked in substance or Carrey's acting ability? It seems the second review doesn't think Jim is a real actor ""...Carrey probably nursed hopes of one day becoming a real actor"" Both reviews don't seem to like his acting skills...."
mein is director ke baare mein kuch suna nahi hein,I'd still see it given the cast. Never heard of the director though
hello,Hello?
hello,Hello
hi,Hi 
kya aap is movie ko dekha?,have you watched the movie?
"JAB FIRST AAYA THO, ACHA THA",When it first came out. It has been a while 
AAP DEKHE?,did you see it? 
YAHA BHI,same for me
THODA PEHELE KE SAMAY THA,it has been a while
AAPKO PASAND HEIN,did you like it
YEH COOL CONCEPT HEIN IS MOVIE KE LIYE. MERA KIDS KO BAHUT PASAND HEIN,I thought it was a really cool concept for a movie. My kids loved it. 
AAPKO PASAND HEIN?,Did you like it? 
"HAAN, OK US SAMAY MEIN","yeah, it was ok at the time"
THO LAST BULLET POINT KA KYA KHAYAL HEIN AAP KO?,what do you think of that last bullet point?
ROKIE THO ROBOTS KE SAATH HOGA?,Rokie with robots?
"lol, mujhe woh bahut funny lagi, Rocky with Robots","lol, I found that funny, Rocky with robots "
main ise campare nahin kar sakta Rocky jaise classic ke saath,I would not have compared this to a classic like Rocky 
"haan mein bhi, mere khayaal se yeh funny hai.","yeah me too, I think it is funny"
mujhe pata hai,i know
par yeh movie aisi hi lagti hai,but the movie does feel like that
doosra bullet point yah kehta hai ki yeh ek cliche hai,"the other bullet point says, it better a cliche"
main dekh sakta hoon kuch cheez mix hote hue. human strugle,I can see some thing mixing. the human strugle 
abhi mujhe achchi tarah se yaad aaya jahan hugh jackman bulls ke saath fight karta hai shuruaat mein.,"now I rember it better where hugh jackman fights the bull in the beginning
 "
"last bullet se agla bahut funny hai, ""maana ki fighting robots ki premise plausible lagti hai aur intriguing extension ek contemporary WWE world ki. yaad dila ta hai How I Met Your Mother waali Robots VS wrestlers ki","the next to last bullet point is funny, ""Though the premise of fighting robots does seem a plausible and intriguing extension of the contemporary WWE world. reminds of Robots VS wrestlers in How I Met Your Mother  episdoes "
shaayad woh funny tha,probably that was funny
"YEH THO FUNNY FIGHT HEIN, ROBOT NE THO BULL SE FIGHT KIYA","That was funny fight, watching a robot fight a bull "
"HAAN, KAAFI FUNNY HEIN",yeah that is funny
"MUJE LAGA KI ROBOT WIN KAREGA, LOL","I thought the robot would win, lol "
BULL HI REAL ROCKY HEIN,the bull was the real rocky
LOL,lol
HAAN VOH THO HEIN,yes he was 
"MUJE THO US CHOTA ROBOT, US BIG ZEUS KO KNOCK OUT KAR RAHA THA  USSE PASAND HEIN",I did also like the little robot knocking out the big zeus 
"HAAN, MUJE BHI","yeah, it had too"
LEKIN YEH BAD RATING MILA,it has such a bad rating though
59%,59%
mein tho iske liye look kar rahe the.. dusre tho 56/100 diya,"I was looking at that. the other
 is a 56 out of a 100"
"probably, expert reviews tho a diya",probably it is those expert reviews cause the last one it gives an A
cinema score,cinemaScore
"haan, person ke depend hein, unka mood jab dekhte samay. mein experts ko pasand karthi","guess it depends on the person, the mood they are in when they watch it. I liked the experts better "
experts tho thik hi hote,"the experts liked it, lol "
"nice, aapse milkar",nice talking to you
bye,bye
"haan, muje bhi","same, nice talking to you as well "
later,later 
hi! muje Real steel ka movie tho enjoy kartha aur voh movie tho pura adventure hein,"Hi! I've really enjoyed the movie ""Real Steel"" It was a great movie that was full of adventure!"
mein pehele hi yeh dekha hoon,I've seen this one before
typical family action ka film ke tarah lag raha hein kuch scifi elements,seems kinda like a typical family-action film with some scifi elements
kuch cool hein,was kinda cool tho
"han, is film kuch family type ka hein.. lekin muje is characters jo especially hugh jakman se bahut impress hein",Yes it is sort of the family type of film. But I got very much into the characters especially Hugh Jackman's.
hugh ko dekhne ka bahut interesting hein jo domestic role play karte,was interesting to see Hugh play a more domestic role 
"normally, voh lone fighter type ke hein",normally he's always a loner fighter type
"haan, lekin voh ache play kiye hein aur pull it off karne ka able hein","Yes but 
he played it well and was able to pull it off."
"haan, voh us character ko struggle karke play kiya hein",yeah he played the struggle of the character well
Maine hamesha yeh interesting paya ki actors kis type ka demands kar sakte hai. Mujhe lagta hai wo sab ke sath thik se fit hai.,I always find it interesting to see what sort of demands actors can get into. I think he fit in with everyone else really well.
yeh hai ek unusual mix actors ka jo bana ek coherent mixture.,yeah the unusual mix of actors led to a coherent mixture 
Yeh definitley true hai.,That's definitley true.
Mujhe different type ke robot fighters movie me dekhne me pasand aye.,I enjoyed seeing all of the different robot fighters in the movie s well.
Naye paragraph se mujhe robot ke interesting factor ka pata chala is movie world ke.,the new paragraph loaded reminds me of how interesting the factor that these robots were an everyday thing in the movie's world
Woh ek lower-class ladka hai par uske paas ek fighting robot hai.,like he's just a lower-class dude but he owns a fighting robot
Yeh dikh raha hai kaise woh world se draw hue hai aur kaise ye robots sirf ek common chiz hai jo mujhe pasand bhi hai.,Yeah seeing the draw of their world and how these robots are just sort of common was something that I really liked as well.
Main ne socha ki kis tarah us world me jiya jata hoga.,I thought about what it would be like to really live in that world
yeh kaafi interesting point ubharta hai ki improved technology se problems gaye nahi hain.,also interesting how it brings up the point that improved technology doesn't make all problems go away
Ye ladka abhi bhi debt me hai and rahega.,this guy still is in debt and so on
"KUCH BHI HO, LEKIN LIFE ISSUES KO KABHI CHANGE NAHI HOTE.. VOH KAHI NEW WAY MEIN AA HI JAATHA",Yes no matter what we have basic life issues will never really change. They'll just come about in a new way.
KAAFI ACHE SCENE HEIN IS NEW PARAGRAPH MEIN,that was a pretty good scene (the new paragraph)
"HINT KE TARAH HEIN, KUCH GUY KA YAAD AATHA JO EVENTUALLY AAPAS MEIN FOUGHT KIYE THE",kind of hinted at things remaining worse for the guy/son but eventually they fought their way back
COOL HE US ROBOTS KO HUMAN SPIRIT SE DEKHNE KA,cool to see the human spirit reflected in robots
"HAAN YAR, MUJE BHI YAAD HEIN",Oh yeah lol I remember that...
YEH THO CLASSIC UNDERDOG STORY JO DIFFERENT WAY MEIN KAHA GAYA HEIN.. TRIALS AUR TRIUMPHS THO AATHE JAATHE HEIN,It's just the classic underdog story told in a somewhat different way. There will always be trials and triumphs
JAB TAK HUMANS AAPAS MEIN AATHE TAB TAK HUM KABHI INTRINSICALLY CHANGE NAHI KARTE,"As long as humans are around we'll never really intrinsically change
."
"HAAN, ROBOTS THO HUMAN LIFE KO NAHI CHANGE KARTE, YEH SIRF AUGMENT HI HEY","yeah the robots don't change the human life, they just augment it"
INTRINSIC THO KUCH NAHI HEIN,nothing intrinsic is lost
"SAHI HEI, KAHI LOG THO ROBOTS KO HUMAN KE TARAH DEKHNE LAGTHE LEKIN ACTUAL HUMANS THO BEHETAR HEIN.. REALLY INTERESTING CONCEPT HEIN YAR","Right. I suppose in many ways we were really supposed to see the robots as humans - more so than the actual humans. That's a really
 interesting concept, I think."
virtual reality ka yaad aaya,kinda reminds me of virtual reality
"humanity tho jinda rahega, lekin robots",humanity lives on but through the robots
"robots kitna bhi kaam karega, lekin lagtha tho human ki tarah hi",even though the robots are doing the action their action is still fully human
haan voh tho sach hein... ab tho nahi lekin jarur yek din muje pasand aayaga.. super hero ke tarah feel karna tho fun hein,Yeah that's very true. I would love it if someday we could really have virtual reality like that. It would be so much fun to be able to really feel like you're a super hero!
"haan, kya aapko supernatural existence ka thrill hein, humanity ko lose kare bina","yeah, you'd have the thrill of a suernatural existence without losing your humanity"
"muje lagtha hein ki, yeh ache message hein is film ka",i think that's a nice message the film has
haan. sabhi is world ko interconnected hein.. even kuch people dusron ke saath,"Right that is very true. We're all interconnected in this world somehow. Even if some people do have
 more than others."
"hey, kya tumne Avengers dekhi?The Avengers?ye pretty good movie he, tumhe check karna chahiye agar tum Robert Downey Jr, ko like karte ho.","Hey, have you seen The Avengers? It's a pretty good movie, you should check it out if you like Robert Downey Jr."
"yes, me janata hu and me ye movie like karta hu","YES, I KNOW AND ALSO I LIKE THE MOVIE"
"yah vaastav mein bahut achchha hai ki maark raphphaalo ne broos bainar / da halk ke roop mein kya kiya, jisase vah itana shaant ho gaya ki aap jvaalaamukhee banane ke lie taiyaar nahin hain?","It's really great what Mark Ruffalo did as Bruce Banner/The Hulk, making him so calm yet ready to become a volcano don't you think?"
haan mujhe aisa lagata hai,"Yes, I think so"
"main hamesha ek bada  Joss Whedon prashansak nahin hoon, lekin unhonne teem kee mool kahaanee ko masaala dene ke lie haasy ke saath achchha kaam kiya. kya aap aashcharyachakit the ki isane kaee paatron ke saath kaam kiya?","I'm not always a big Joss Whedon fan, but he did a good job with the humor to spice up the team origin story. Were you surprised that it worked with so many characters?"
"sakhtee se, yah usakee mukhy kshamata ho sakatee hai","Strictly, this may be his main potential"
"main kahoonga ki Robert Downey Jr bhee yahaan apanee kshamata ke saath khel rahe hain, apanee tej jeebh aur parishkaar ke saath. aapaka pasandeeda charitr kaun tha?","I would say Robert Downey Jr. is also playing to his potential here, with his sharp tongue and sophistication. Who was your favorite character?"
Robert Downey mera sabase pasandeeda pasandeeda charitr hai,Robert Downey is my favorite favorite CHARACTER
kya aapako lagata hai ki unhonne evenjars kee achchhee leedaraship kee ya kisee aur ne aapako is tarah se khada kiya?,Did you think he made a good leadership figure of the Avengers or did anybody else stand out to you more that way?
"nahin, vah sahee hai","No, he is right"
"Tesseract se bachakar nikalana kaaphee achchha tha, philm ke lie ton set karana.","That opening with the Tesseract escape was pretty cool, setting the tone for the movie."
may bai yahee philm kee saphalata ka kaaran tha,"MAY BE 
That was the reason for the film's success"
Haan jab Hawkeye movie me itni jaldi enslave hogaya to wo kaafi surprising tha,"Yeah, it was pretty surprising when Hawkey got enslaved so early in the movie though."
Wo image capture skills k baare me hai,"It refers to 
 image capture skills"
Please mujhse chat karo fast,PLEASE CHAT ME FAST
"Main uske baare me sure nahi hu , but Nick Fury hamesha bahut cool rahta hai. Afsos bad guys hamesha ek kadam aage rahte hai","I'm not sure about that, but Nick Fury is always so cool. Too bad the bad guys always have to get one up on them."
Wo unka nature hai aur wo impossible hai,It's their nature and it's impossible
I guess so. Akhir Chitauri k leader ka kya mamla hai. Kaafi mysterious,I guess so. I wonder what the deal is with the leader of those Chitauri? Very mysterious.
Wo bilkul last tak mystery tha,It was a mystery to the last
At least is film k liye I guess. Jab Coulson mara kaafi sad tha. Kya us scene me feeling aayi?,For this film at least I guess. It was pretty sad when Coulson died. Did that scene get you?
Dekhne ki ek jhalak thi,There is a glimpse of seeing
"Haan , at least sabhi avengers ko saath le aayi, pure time aapas  me ladne ki koi jarurat nai thi","Yeah, a
t least it brought the Avengers together finally, no need for them to be fighting each other the whole time."
koi zarurat nhi,There is no need
absolutely loki ko maro jaise hulk ne mara tha uski butt par lath kisne mari,"Absolutely. Beat on Loki, like the Hulk did. Who kicked the most butt do you think?"
muje lgta hai aisa,I think so
muje acha lga ki hulk ne Iron Man ko bachaya girne se kitna acha samay tha wo,"I loved that Hulk saved Iron Man when he was falling, such a great moment."
muje bhi Hulk pasand hai,I like Hulk too
"tumhe nhi lgta wo sabse acha hai, bhote badi baat hai ki puri team sath mai kaam krti hai din ko akhir mai bachane ke liye ?","Yeah he's the best. It's great that the whole team had to work together to save the day in the end, don't you think?"
muje pta hai mai soch rha tha,I knew and I thought
kuch to bhote bada stake hai use nuclear missile mai jo new york ki teraf ja rhi thi,There were certainly some high stakes with that nuclear missile heading for New York.
hi,hi
kya tumhe frozen pasand hai ?,do you like frozen?
mujhe frozen accha lagta hai?,I love Frozen!
mujhe frozen yogurt pasand hai! aur ye movie bhi :),I love frozen yogurt! but also this movie :)
LOL! Mein second movie ke release wait nahi kar sakti,LOL!  I Cant wait for the second movie of Frozen to release
tumhara favorite character kaunsa hai?,what is your favorite character?
Anna kyunki woh independent hai !,Anna because shes independent!
yours?,yours?
Mein Elsa ko like karta hun,I like Elsa
Wo mujhe mere same naam ke ek friend ki yaad dilati hai,she reminds of my friend of the same name
Character designs bhi cool hain,also the character designs are cool
thats cool!Anna mujhe meri ladkiyon ki yaad dilati hai - wo bhi red-heads hain,thats cool! Anna reminds me of my girls - they are red-heads too
tumhe songs pasand aaye ?,do you like the songs?
Of course - who dosent! Hum abhi bhi unko ghar mein gaate hain!,Of course - who doesnt!  We still sing them around our house! 
Ye to awesome hai!,that is awesome!
Pehli baar humne Frozen dekha tha ek Disney Cruise Ship par.,The first time we saw Frozen was on a Disney Cruise Ship 
aapka favorite kon sa hein?,what's your favorite?
"muje pasand hein agar voh summer mein huva tho, especially ab toh cold hein. aapka favorite kya hein?",I love Let it Go but also In Summer - especially now since its so cold!  Whats your favorite
muje yaad nahi hein,i don't remember
aapko is movie ka favorite part kya hein?,do you have a favorite part of the movie
"voh snowman, bahut funny character hein",the snowman is a funny character
voh toh hilarious hein,he is hilarious. 
olaf?,olaf?
haan,yes
aapka favorite scene kya hein?,do you have a favorite scene?
"muje toh uska trolls bahut pasand hein. Ending toh muje bahut pasand hein, Jab Elsa Anna ko bachaya hein.",I really like the scene with the Trolls.  The ending also gets me every time when Elsa saves Anna. 
aapaka kya hai,whats yours
ant mahaan hai,the ending is great
trols ke saath drshy bhee.,the scene with the trolls too.
mujhe ummeed hai ki trol doosaree philm mein adhik hain,I hope the trolls are in the second movie more
hah shaayad ve apanee khud kee spinoff philm hogee,haha maybe they will have their own spinoff movie
vah bhee pyaara hoga,that would be cute too
aapase achchha chaiting aapaka din shubh ho!,nice chatting to you. Have a good day!
aap bhee,you too
namaste,HI
namaste,HI
kya aapne wonder woman film  dekha hai,DID YOU SEE THIS FILM  WONDER WOMAN
haa,YES 
kya yah film aap ko pasand hai?,DO U LIKE THIS FILM?
mujhe ye film pasand hai,S I LIKE THIS FILM
yah dc comic par aadharit hai. wamer bros pictures  ne vitarit kiya hai,IT IS BASED ON DC COMISC. THE DISTRIBUTED BY WAMER BROS. PICTURES
Haan wo ek famous DC Comics hai,YEAH IT IS A  FAMOUS DC COMICS. 
Accha,GOOD
Yeh hai German Army (German Empire),"THIS IS 
German Army (German Empire) "
Haan main jaanta hu. Ye term Deutsches Heer modern German Army k lie bhi use hoto hai. Bundeswehr ka land component,"yes i know. The term Deutsches Heer is also used for the modern German Army, the land component of the Bundeswehr."
Iske alawa Jenkin ka role as a director use pahli women director bana deta hai kisi bhi live-action theatrically released comic book superhero film ka,"S APART FROM THIS Jenkins's role as director
makes her the first female director of a live-action, theatrically released comic book superhero
film."
Tumhe wo movie pasand aayi?,ARE YOU LIKE THAT MOVIE
Haan mujhe pasand aayi aur maine is movie ko enjoy bhi kiya,YES I LIKE THAT. AND ALSO I ENJOYED THIS MOVIE.
Oh kitne baar dekh chuke ho ye movie?,OH HOW MANY TIMES YOU SEE THIS MOVIE
main ye movie 2 baar dekh chuka hu,2 TIMES I WATCHED THIS MOVIE.
Tumhe movie ki director pasand aayi kya?,ARE YOU LIKE THIS MOVIE DIRECTOR
Aap kaha se hai?,ARE YOU FROM
Ha mujhe ye film director pasand hai,YEAH I LIKE THIS FILM DIRECTOR. 
Ha,YEAH
Kya ha,WHAT YEAH
Aap kaha se hai,ARE YOU FROM
Ha my yaha hoon,YES I AM HERE
Kyu ye film pasand hai,WHY DO LIKE THIS FILM?
Ha mujhe ye movie pasand hai,YES I LIKE THIS FILM
Lekin my ye movie nahi dekha,BUT IAM NOT SEE THIS MOVIE
Kyu dekh nahi sakte ho?tumhe pata hai  yah movie bahut achi hai,WHY DO DID NOT SEE THAT? DO YOU KNOW THIS MOVIE IS REALLY GOOD
IS FILM ME KAUN SE BHUMIKA AAP KO ACHHA LAGA,WHICH CHARECTER YOU LIKE THIS MOVIE
IS FILM MEMUJHE SAB BHUMIKA ACHHI LAGI,I LIKE ALL THE CHARACTER IN THIS FILM
SACH,OH REALLY
BEHTHAR,THAT NICE
BAHUT ACHHA,OK FINE
Hi Kya chal raha hai,Hi  What's up?
Maine bas dekha ki tum room mein enter kar chuke ho. Kya hum chat kar rahe hain?,I only see that you have entered the room.  Are we chatting?
Are you there?,Are you there?
"Han, sorry","Yes, sorry"
Kya tumne Monsters University dekhi hai,Have you seen Monsters University?
main bas give up karne hi wala tha,Was almost ready to give up.
Main directions read kar raha tha,I was reading the directions
Nahi kya ye Pixar movie hai?,No is that a Pixar movie?
Han Pixar movie hai 2013 ki,Yes it's a Pixar movie from 2013
okay aur kya ye fun thi?,okay and was it fun?
"Yes, wo 2001 ki Monsters Inc movie ka prequel hai. Isme John Goodman aur Billy Crystal main characters hain.","Yes, it is a prequel for the Monsters Inc movie from 2001. It stars John Goodman and Billy Crystal as the main characters."
jo tum likhte ho is all I can see,All I can see is what you write
oh do acche actors what happens in it?,oh two good actors   what happens in it?
Ye main characters Mike aur Silley ke baare mein hai . Wo dono ek school field trip par jaa rahe hain.,"It's about the main characters, Mike and Silley. They are going on a school field trip."
I take it ki ye unki voices hain,I take it that it's their voices
"Yes, wo main characters play kar rahe hain. Ye ek computer animated movbie.","Yes, they play the main characters. It's a computer animated movbie."
Aur ek bus mein?,And in a bus?
Kis tarah ka antics do they do ?,what kind of antics do they do?
Mike  Monsters Inc mein jaata hai on a school trip aur decide karta hai ki usko bade hokar scarer  banna hai. Wo bada hokar Monsters University mein jaata hai and meets Sulley.,Mike goes on a field trip to Monsters Inc on a school trip and decides he wants to be a scarer when he grows up. He goes to Monsters University when he grows up and meets Sulley.
Mujhe lagta hai my screen has a delay and doesn't move very quickly,I think my screen has a delay and doesn't move very quickly
muje padna padega puri information jo wo de rhe hai aur tab btaunga iske liye kuch seconds lagenge muje likhne mai,"I have to read the info they are providing and then tell you information about it, so it takes a few seconds for me to write"
darawani?,a scarey?
ha to wo mai nhi hu phir?,Okay so it's not me then?
darawani wo energy dare hue bachi se lete hai raat mai,a scarer. Basically they harvest energy from scaring children at night.
nhi wo tum nhi ho,No it's not you
rakshas jaisa kuch palang ke niche?,oic  monsters under th bed kind of?
"to wo campus mai ghusne ki kosis kerte hai Scare khel ko join kerne ke liye jaisa ki Hanger khel mai hai, shayad","So they join a fraternity on campus and try to enter the Scare Games, kind of like Hunger Games I guess."
ho isse tra aur pass mai,"Yes, like that, or in a closet."
ha muje idea mil gaya,okay I get the idea
unka wo kafi khatin samay tha Scare khel mai aur wo disqualified hogye,They have a hard time during the Scare Games and get disqualified.
"I' m sorry agar ye sense nahi make kar raha. plot ridiculous lag raha hai, lol","I'm sorry if this is not making sense. The plot seems a little ridiculous, lol"
kya? unhe pata nahi tha scare kaise karein?,what?  they don't know how to scare?
maine isey nahi dekha so lllll,I haven't seen it so lllll
"To, jab wo Scare Games mein enter karte hain, unme se ek cheat karta hai, to wo disqualify ho jate hain. Sully tha jisne cheat kiya","So, when they enter the Scare Games, one of them cheated, so they get disqualified. Sulley was the one who cheated. "
main is type ki movie dekhne ke liye kabhi nahi jaata kyunki ab mere sath koi kids nahi hain sath jane ke liye,I never go see this type of movie now that I don't have kids to go with me.
"wo ""college"" jaate hain scare karne ki best strategies learn karne ke liye.","They go to ""college"" to learn the best strategies to scare."
now ye funny hai!,now that is funny!
"maine pehli wali dekhi thi aur wo really good thi, lekin tab mere bacche young they. Ab mere pas koi reason nahi hai isey dekhne ka.","I saw the first one and it was really good, but my kids were young then. Now I have no reason to see it."
"Well, I guess mujhe khud hi dekhni padegi. Shayad ye TV pe kahin hogi.","Well, I guess I have to go see for myself.  It's probably on TV somewhere."
"To Scare Games se disqualify hone ke baad wo job le lete hai Monsters, Inc, ke mail room me aur mehnat karke upar jaate hain jab tak wo ""scarer team"" join nahi kar lete","So, after they get disqulified from the Scare Games, they both take jobs at Monsters, Inc, in the mail room and they work their way up until they are able to join the ""scarer team"""
ROTTEN TOMATOES PAR ISE 79% MILA,It got 79% on Rotten Tomatoes.
THEEK HAI BYE.,okay  bye now
BYE / PHIR MILENGE,Bye
"HEY, KAISE HO?","Hey, how are you?"
KYA AAP MONSTERS UNIVERSITY DEKHE?,Do you like Monsters University?
"HAAN, MUJE LAGA BILLY NE MIKE KE TARAH ACHE JOB KIYA HEIN","I do, I thought Billy did a good job as Mike"
"HAAN, BILLY CRYSTAL THO GREAT HEIN.. AAPKA FAVORITE CHARACTER KOUN HEIN?",Yeah Billy Crystal is great. Who is your favorite character?
"MIKE YAR... MONSTER U THO FUNNY AUR CUTE HEIN, KAAFI ANIMATION BHI HEIN, JO MUJE INSPIRED NAHI HOTA LEKIN USME KAAFI COLOR HEIN","Mike was. Monster U is cute and funny and the animation, though not exactly inspired, has a lot of color."
"MUJE COMEDY PASAND AAYA, AUR USKA MUSIC BHI",I really liked all the comedy in it. And the music
"COMEDY THO TRUE SE US SPIRIT KA MONSTERS HEIN, KAAFI TONE SE MATCH KIYA JO KABHI OLD GROUND MEIN TURN NAHI HOTA.. MUSIC THO SAHI NOTES HEIN,",The comedy is true to the spirit of Monsters Inc and matches its tone but never seemed content to turn over old ground. The music hit all the right notes I think
"MEIN MAANTHA HOON, YEH PIXAR KA SAFE BET HEIN, JIS TARAH VOH PRESENT KIYE","I agree, it was a very safe bet for Pixar with how they presented it."
"Superstar actors ka voice acting karna is always going to make money, though.","Superstar actors doing voice acting is always going to make money, though."
"Main agree karta hun, isme kafi stuff jo cuteness ke immediate buzz ke melt hone ke baad imagination ko haunt karegi. mere prequel ke liye ye acha result hai.","I agree, it has enough stuff to haunt the imagination long after the immediate buzz of cuteness has melted away. For a mere prequel, that's a good result."
"mujhe iska saara fraternity aspect acha laga, bohat tongue in cheek.","I liked the whole fraternity aspect of it, very tongue in cheek."
"Han, ye ek as a whole series pe refreshing outlook tha aur characters ke liye nice background provide karti hai","Yes, it was a refreshing outlook on the series as a whole and provided a nice background for the characters."
mujhe laga Mike ka 7 years old ka scene bhi acha call-back tha,I thought the scene of Mike at 7 years old was a good call-back too.
"I agree, mujhe acha laga jab unhone Mike ki background story dikhayi ki wo scarer kyun ban gaya. Main hamesha sochta hu usne aisa karna kyun chose kia.","I agree, I liked when they show Mike's background story of why he became a scarer. I always wondered why he chose to do that"
mujhe ye bhi acha laga ki kaise unhone Mike aur Sully ki friendship develop hote dikhaya,I also like how they show the friendship between Mike and Sully develop
Haan maine kabhi nahi socha Sully ko is tarah cool guy,Yeah I never thought of Sully as the cool guy iike that
main nahi janta Sully ka baaki characters ke comparison mein itna pretentious background tha. Isse samajh aata hi sirf wahi kyun Roar Omega Roar mein accept huya.,"I didn't know Sully had such a pretentious
 background compared to other characters. It explains why only he was accepted into Roar Omega Roar."
"Sach, aur ye ye dikhane ka acha kaam karti hai ki dono characters flawed hain.","True, and it does do a good job of showing how both characters are flawed."
"mery khyal k mutabiq tamam khofnak game ka plot kafi achaa bhi tha, bht dilchasp rakha","I thought the whole Scare Games plot was a fairly good one too, kept it interesting."
"mai manta hun, mjhy acha laga k unhun ne unko oerfect banany ki koshish nai ki","I agree, I like that they didn't try to make them perfect. "
"Han, aur unky lia bht kuch us game mai dao per bhi laga hua tha",Yes! And so much was at stake for them in that game as well
ye faisla krega k kia wo reenrolled ho skty hain ya nai. apko kaisa laga k sully ne kaisy cheat kia,It would decide if they could be renerolled or not. How do you feel about how Sully cheated?
mery mutabiq ye anhooni ko sirf delay ker rha tha aur unhy accomplishment ki aik jhooti tasalli de rha tha,I thought it was delaying the inevitable and giving them a false sense of accomplishment.
"mai manta hun, mjhy Mike k lia bura laga jo soch rha tha k wo khud se kamyaab hua jabky usy jeetny mai madad di gaye","I agree, I felt bad for Mike who thought he succeeded on his own terms but instead was helped to win"
mery khyal tha k ye ironic bhi hai qk unhy phly muqabbly mai sirf is lia nikala gaya q k dusri team ko cheating kerny per disqualify kia gaya,I thought it was ironic too since they only get eliminated from the first challenge because another team was diqualified for cheating.
han ge mai manta hun. iska khatma unhy university se nikalny per he hua,Yes I agree. It ended up causing them to become expelled from the university as well
mjhy lagta ha k unhun ne baki tamam logon k accept hony ki waja se apni qurbani di hai,I feel like they sacrificed themselves for the rest of the fraternity to get accepted though.
"mai manta hun aur mera khyal hai k ik acha kaam tha krny ko.kam az kam wo Monsters, Inc mai hire hony k qabil thy aur apny apko scarer banany tak phncha skty thy","I agree and I think that it was a noble thing to do. At least they still were able to be hired at Monsters, Inc. and work their way up to becoming scarers."
"Han, guess ye dikhata hai ki sometimes tumhe education nahi chahiye! haha","Yeah, guess it shows that you don't need education sometime! Haha."
"Exactly, kabhi kabhi sirf preservation aur hardwork hi needed hota hai!","Exactly, sometimes all that's needed is preservation
 and hardwork!"
kam se kam ye CDA ke saath zyada trouble mein nahi pade,At least they didn't get in a lot of trouble with the CDA
han I was taken aback jab Hardscrabble ne bola wo usey surprise karne wale first students they,Yeah I was taken aback when Hardscrabble said they were the first students to surprise her.
"I agree, mujhe laga ye zyada special nahi tha. All in all ye great movie thi!","I agree, I thought they weren't too special. All in all it was a great movie!"
Batman vs Superman,Batman vs Superman
"zack snyder hi director hein, rotten tomatoes ne tho 27% deya jo 4.9/10","The director is Zack Snyder, 27% Rotten Tomatoes, 4.9/10."
itna bhi popular nahi hein,Not very popular it seems
lekin audiences ko pasand hein. yeh B cinema ka score hein,"But the audiences liked it. It has a B cinema 
score "
haan,Yes
kaafi divergence hein profession al critical ka opinion aur regular movie ka goers,"There is a huge divergence between proffession
al critical opinion and regular movie goers"
mein nahi dekha hoon,I've never seen it
muje uska difference ke baare mein kuch patha hein,I know the difference. 
muje yakin hi nahi hota ki voh ben affleck ko batman se used kiya tha,I can't believe they used Ben Affleck as Batman
tho kuch award nahi mila lekin voh sab box office mein ache collection mila,"So it probably won't get any awards, but should have done well enough at the box office"
yeh tho strange choice hein yar,It was a strange choice
well ye 2016 me bani thi,Well it was made in 2016
mai just guess kar raha hu ki isse unhone us time pe  kya accomplish kiya hoga,I'm just guessing as to what it may have accomplished back then
probably is score ke sath nothing,Probably nothing with those scores
In blockbuster type ki movies ke liye box office  total jyada important hota hai bajay critics ki acceptence ke.,"The box office 
gross is more important than critics acceptance for these blockbuster type movies"
Mujhe to bilkul hi pasand nahi aaya kaise unhone poori new story line bana di.,I don't like how they made a whole new story line.
mere liye to unhone ruin kar di,They ruined it for me
