,premise,hypothesis,labels,hindi_premise,hindi_hypothesis,english_premise,english_hypothesis
1358,rani kitna sunder lag raha hai vijay real wala iss se bhi sunder hai dekhna rani main kahan se dekhungi vijay honeymoon pe paris hi to le ke jaunga tumhey rani ainweyi deengey maartey ho vijay sach mainey to poora plan kar liya hai aur pata hai paris sab se achha kab lagta hai rani kab vijay jab tum aur main wahan hongey,vijay aur rani honeymoon pe paris jaenge,0,रानी  कितना सुंदर लग रहा है   विजय  रियल वाला इस से भी सुंदर है ... देखना   रानी  मैं कहां से देखूंगी   विजय  हनीमून पे ... पेरिस ही तो ले के जाउंगा तुम्हें   रानी  ऐंवेई ... देंगे शहीद हो   विजय  सच ... मैंने तो पूरा प्लान कर लिया है ... और पता है पेरिस सब से अच्छा कब लगता है?   रानी   कब ?   विजय   जब तुम और मैं वहां होंगे  ,विजय और रानी हनीमून पर पेरिस जाएंगे,rani looks so beautiful vijay the real one is even prettier than this watching rani where will i look from vijay on honeymoon i will take you to paris only rani ainvai will give shaheed ho vijay really i have done all the planning and know when paris is the best of all queen when vijay when you and i will be there,vijay and rani go on honeymoon to paris
538,titli gaadi khareedni hai car salesman kaun si titli honda city test drive karni thi car salesman kahan rehto ho neelu aapko gaadi bechni hai ki chitthi daalni hai ghar pe car salesman ji wo test drive nahin karate hum na test drive ki gaadi hai yahan neelu yahan khadi to hai kitti saari chala ke nahin dekhenge to lenge kaise car salesman cash mein leni hai ki loan pe titli cash supervisor silver gray mein marvaa de ek round car salesman register mein naam pata likh dijiye apna titli address pata nahin inko abhi car salesman a a p ho aao a a r a m se madam ko thanda pilate hain hum tab tak titli gaadi toh inko khareedni hai par supervisor ho aa saath tu bhi,supervisor ko silver gray mein test drive karni hai,0,"तितली  गाड़ी खड़ीनी है।   कार सेल्समैन   कौन सी ?   तितली   होंडा सिटी। टेस्ट ड्राइव करनी थी।   कार सेल्समैन   कहन रहतो हो ?   नीलू   आपको गाड़ी बेचनी है की चिट्टी डालनी है घर पे?   कार सेल्समैन  जी वो, टेस्ट ड्राइव नहीं कराटे हम। ना टेस्ट ड्राइव की गाड़ी है यहां।   नीलू   यहां खादी तो है किट्टी साड़ी। चला के नहीं देखेंगे तो लेंगे कैसे?   कार सेल्समैन   कैश में लेनी है की लोन पे ?   तितली   नकद।   पर्यवेक्षक  सिल्वर ग्रे में मारवा दे एक राउंड।   कार सेल्समैन   रजिस्टर में नाम पता लिख ​​दिजिये अपना।   तितली   पता नहीं इनको अभी।   कार सेल्समैन   ए ए पी हो आओ ए आर ए एम से। मैडम को ठंडा पिलाते हैं हम तब तक।   तितली   गाड़ी तो इनको खड़ीनी है पर।   पर्यवेक्षक   हो आ साथ तू भी।  ",सुपरवाइजर को सिल्वर ग्रे में टेस्ट ड्राइव करनी है।,butterfly the car has to be parked car salesman which one butterfly honda city had to do a test drive car salesman where are you neelu you have to sell the car that you have to put a letter at home car salesman yes we don t test drive karate there is no test drive car here neelu here is khadi to kitty saree if you don t go and see how will you take it car salesman to take in cash or on loan butterfly cash supervisor marwa de a round in silver grey car salesman write your name and address in the register butterfly don t know them now car salesman aap ho aao ara am se till then we give cold drinks to madam butterfly they have to park the car but supervisor ho come with you too,supervisor has to do test drive in silver grey
1607,junior officer sir dr tandon ka compounder hai khempal uske gaon se hi hai kanhaiya saab thoda rasiya type ka hai apna khempal ek number ka tharki shruti baby pe dil aaya hua tha uska junior officer par wo to dada hai na do pote hain uske kanhaiya to dada ke bhi to dil hota hai na saab,shruti ek number tharki hai,1,"कनिष्ठ अधिकारी   महोदय, डॉ. टंडन का कंपाउंडर है .. खेमपाल उसके गांव से ही है ..   कन्हैया  साब .. छोटा रसिया टाइप का है अपना खेमपाल .. एक नंबर का थरकी .. श्रुति बेबी पे दिल आया था उसका ..   जूनियर ऑफिसर   पर वो तो दादा है ना ? दो पोते हैं उसके।   कन्हैया   तो ... दादा के भी तो दिल होता है ना साब ..  ",श्रुति एक नंबर थर्की है।,junior officer sir is dr tandon s compounder khempal is from his village junior officer but he is dada isn t he he has two grandsons kanhaiya so even dada has a heart isn t it saab,shruti is number one tharki
657,commander goonge bhi kashmiri nahin janaab commander leans and pulls out the chain he is wearing toh phir yeh kashmiri kya main yeh chain commander mauj lene aaye ho yahaan kashmiri main nahin de sakta commander daffa ho jao phir lo isse bhi le jao kashmiri janaab commander aagey kya karoge abhi se dikh raha hai,kashmirimmander ne co ko yahaan mauj lene ko kaha,1,"कमांडर  गूंगे भी?   कश्मीरी   नहीं जनाब ...   कमांडर   (झुककर जंजीर निकालता है) तो फिर ये ...   कश्मीरी   क्या मैं ये चेन ...   कमांडर   मौज लेने आए हो यहां ?   कश्मीरी  मैं नहीं दे सकता ...   कमांडर  दफ्फा हो जाओ फिर ... लो, इसे भी ले जाओ ...   कश्मीरी  जनाब ...   कमांडर  आगे क्या करोगे, अभी से दिख रहा है ....  ",कश्मीरीमंदर ने को को यहां मौज लेने को कहा।,commander dumb too kashmiri no sir commander bends and takes out the chain then this kashmiri am i this chain commander have you come here to have fun kashmiri i can t give it commander get buried then take it too kashmiri sir commander what will you do next see from now on used to be,kashmiri mander asked ko to have fun here
217,shahid hello salma haan vakil sahab shahid hamara case aaj asaan ho gaya salma bhai aaj toh court date nahin tha shahid jisne woh maps diye the usne aaj maan liya america mein ki usne diya tha maps atankwadiyon ko fahim s wife bhai yeh aapke hissab se achcha hai na shahid haan teen may aur sab thik she starts weeping shahid yeh kya mujhe toh laga tha ki tum zor zor se hansogi achcha saath mein hansne ki bhi koshish karo,aaj toh court date nahi tha,0,शाहिद   हेलो..   सलमा   हां वकील साहब।   शाहिद   हमारा केस आज आसन हो गया।   सलमा   भाई आज तो कोर्ट डेट नहीं था।   शाहिद   जिसने वो मैप्स दिए थे उसने आज मान लिया अमेरिका में उसने दिया था मैप्स अतंकवाडिय़ों को।   फहीम की पत्नी   भाई। ये आपके इतिहास से अच्छा है ना?   शाहिद   हां। तीन मई और सब ठिक। वह रोने लगती है।   शाहिद   ये क्या? मुझे तो लगा था की तुम ज़ोर से हांसोगी। अच्छा साथ में हंसने की भी कोषिश करो।  ,आज तो कोर्ट की तारीख नहीं था,shahid hello salma yes lawyer sir shahid our case has settled today salma brother today was not a court date shahid the one who gave those maps today accepted that he had given maps to the atankwadis in america wife of faheem brother this is better than your history isn t it shahid yes may 3 and all is well she starts crying shahid what is this i thought you would laugh out loud well try to laugh together,today was not the court date
1005,shahid kab se shahid just ek problem har char mein ek cancer se tapakta hai tum 3 mein ho tumko kuchch nahin hoga ho sakta hai kyon nahin 75 chance distinction hai khalid ek minute bhai shahid dost khalid shakes his head and walks towards his friend as shahid looks on amusedly,har 4 mein se ek aadmi cancer se marta hai,0,"शाहिद   कब से ?   शाहिद   बस एक समस्या। हर चार में एक कैंसर से तपता है। तुम 3 में हो, तुमको कुछ नहीं होगा। हो सकता है, क्यों नहीं? 75% मौका। भेद है!   खालिद  एक मिनट, भाई।   शाहिद   दोस्त ? खालिद अपना सिर हिलाता है और अपने दोस्त की ओर चलता है क्योंकि शाहिद मस्ती से देखता है।  ",हर 4 में से एक आदमी कैंसर से मार्ता है,shahid since when shahid just one problem one in every four heats up with cancer you are in 3 nothing will happen to you maybe why not 75 chance there s a difference khalid a minute bro shahid friend khalid shakes his head and walks towards his friend as shahid watches with fun,one out of every 4 men dies of cancer
335,imran ali lambi flight aur itna load tayyar ho neerja we are ever ready imran imran ali neerja ehsaanfaramosh nahi hoon lekin kabhie toh kissi aur ka vhs laa diya karo har baar rajesh khanna bhai hume toh amitabh bachcan zyaada pasand hain neerja waapis do imran ali tauba,imran ali ko amitabh bachcan zyaada pasand hai,0,"इमरान अली    लंबी उड़ान और इतना लोड ? तैयर हो?   नीरजा    हम हमेशा तैयार हैं इमरान !   इमरान अली   नीरजा, एहसानफरामोश नहीं हूं लेकिन कभी तो किसी और का वीएचएस ला दिया करो! हर बार राजेश खन्ना! भाई हमें तो अमिताभ बच्चन ज्यादा पसंद हैं   नीरजा    वापीस दो।   इमरान अली    तौबा !  ",इमरान अली को अमिताभ बच्चन ज्यादा पसंद है।,imran ali long flight and so much load are you ready neerja we are always ready imran imran ali neerja i am not in favor but bring someone else s vhs sometime every time rajesh khanna brother we like amitabh bachchan more neerja give back imran ali tauba,imran ali likes amitabh bachchan more
551,daddy i d h a r r a k h t e hain ashirwad rahega vikram hogaya tera bawle toh daddyji ki dawai le aa pradeep okok pradeep titli chal sang mere neelu ye atachy bistar pe rakh doge,vikram daddyji ki dawaai laane ja raha hai,1,"डैडी  आई डी एच ए आर आर ए के एच टी ई है। आशीर्वाद रहेगा।   विक्रम  होगा तेरा बावले, तो डैडीजी की दवा ले आ।   प्रदीप   ठीक है।   प्रदीप   तितली ! चल ने मात्र गाया।   नीलू   ये बढ़िया बिस्तर पे रख दोगे।  ",विक्रम डैडीजी की दावा लाने जा रहा है,daddy i d h a r r a k h t e remain bless vikram will be your baavle so bring daddy s medicine pradeep okay pradeep butterfly chal just sang neelu you will put it on a nice bed,vikram is going to bring daddy s claim
1336,kabeer abbu wali khan ammi kahan hai kabeer kabeer doosrey kamrey abbu officer baat kartey hain aap aa rahey ho lene wali khan kaise nahi aayengey aa rahein hain hum toh kabeer kabeer kabeer bike pe wali khan nahi badi si gaadi mein tumhe dikhayi thi naa woh wali bas rastey mein hain ab uncle ko phone do wali khan nafisa aur kabeer ko section post 40 pe le aao tumhara aadmi wahin milega,abbu kabeer ko lene aa rahe hain,0,कबीर   अब्बू !   वाली खान   अम्मी कहां है कबीर ?   कबीर   दोसरे कामरे अब्बू... ऑफिसर बात करते हैं... आप आ रहे हैं लेने?   वाली खान   कैसे नहीं आएंगे ... आ रहे हैं हम तो ... कबीर ... कबीर ...   कबीर   बाइक पे !   वाली खान   नहीं ... बड़ी सी गाड़ी में ... तुम्हें दिखी थी ना ? वो वाली ... बस रास्ते में हैं ... अब अंकल को फोन करते हैं ...   वाली खान   नफीसा और कबीर को सेक्शन पोस्ट 40 पे ले आओ ... तुम्हारा आदमी वही मिलेगा ...  ,अब्बू कबीर को लेने आ रहे हैं,kabir abbu wali khan where is ammi kabir kabir doosra kamre abbu officers talk are you coming to pick up wali khan how will not come we are coming kabir kabir kabir on the bike wali khan no in a big car did you see it woh waali bas raast mein hain now let s call uncle wali khan bring nafisa and kabir to section post 40 your man will be found,abbu is coming to pick up kabir
1203,commander goonge bhi kashmiri nahin janaab commander leans and pulls out the chain he is wearing toh phir yeh kashmiri kya main yeh chain commander mauj lene aaye ho yahaan kashmiri main nahin de sakta commander daffa ho jao phir lo isse bhi le jao kashmiri janaab commander aagey kya karoge abhi se dikh raha hai,kashmirimmander ne kashmiri ko chain bhi le jaane ko kaha,0,"कमांडर  गूंगे भी?   कश्मीरी   नहीं जनाब ...   कमांडर   (झुककर जंजीर निकालता है) तो फिर ये ...   कश्मीरी   क्या मैं ये चेन ...   कमांडर   मौज लेने आए हो यहां ?   कश्मीरी  मैं नहीं दे सकता ...   कमांडर  दफ्फा हो जाओ फिर ... लो, इसे भी ले जाओ ...   कश्मीरी  जनाब ...   कमांडर  आगे क्या करोगे, अभी से दिख रहा है ....  ",कश्मीरीमंदर ने कश्मीरी को चेन भी ले जाने को कहा।,commander dumb too kashmiri no sir commander bends and takes out the chain then this kashmiri am i this chain commander have you come here to have fun kashmiri i can t give it commander get buried then take it too kashmiri sir commander what will you do next see from now on used to be,the kashmiri mandar asked the kashmiri to take the chain as well
2055,debdas aap logon ko yahaan khudaai karni hai kya karna hai debdas to imitating dev anand phir savaal ye hai ki aapko khodna aata hai debdas very good debdas hum khod rahe hain kyonki zameen hai usse khodte hain debdas andar hi to hai jo hai baahar to sirf debdas vah bhai mujhe nahin pata bade saahab ko pata hai debdas ye theek hai,debdas ne kaha ki hum khod rahe hain kyonki aapko khodna aata hai,1,"देबदास   आप लोगों को यहां खुदाई करनी है, क्या करना है...   देबदास   तो ... (देव आनंद की नकल करते हुए) फिर सवाल ये है की ... आपको खुदा आता है?   देबदास   बहुत अच्छा ...   देबदास   हम खोड रहे हैं क्यों ... जमीन है , उसे ... खोदते हैं ...   देबदास   अंदर ही तो है जो है ... बहार तो सिरफ । ..   देबदास   वाह ... भाई मुझे नहीं पता ... बड़े साहब को पता है ...   देबदास   ये ठीक है ...  ",देबदास ने कहा की हम खोड रहे हैं क्यों आपको खुदा आता है।,debdas you guys have to dig here what to do debdas so imitating dev anand then the question is do you know god debdas very good debdas why are we digging the land is there we dig it debdas what is inside is there outside is only debdas wow brother i don t know bade sahab knows debdas it s fine,debdas said that we are digging why do you know god
66,rahul aise hi chala jayega bina kisi se baat kiye rahul mom ko humari zaroorat hai arjun arjun mom ko humari nahin tumhari zaroorat hai rahul mujh se toh woh baat bhi nahin kar rahi aur shaayad kabhi nahin karengi arjun nothing you can do will ever disappoint her rahul what if i told you i have lied to her my whole life and i ve no interst in tia or any other girl for that matter rahul you don t have to say anything just stay back a little longer arjun i can t i need sometime dharamendra taxi aa gayi hai,rahul lied to mom his whole life,0,"राहुल  ऐसे ही चला जाएगा.. बिना किसी से बात की.   राहुल   माँ को हमारी ज़रूरत है अर्जुन।   अर्जुन   माँ को हमारी नहीं तुम्हारी ज़रूरत है।   राहुल   मुझसे तो वो बात भी नहीं कर रही.. और शायद कभी नहीं करेंगे.   अर्जुन   आप जो कुछ भी कर सकते हैं वह उसे कभी निराश नहीं करेगा।   राहुल  क्या होगा अगर मैंने तुमसे कहा कि मैंने उससे पूरी जिंदगी झूठ बोला है, और मुझे उस मामले के लिए टिया या किसी अन्य लड़की में कोई दिलचस्पी नहीं है?   राहुल   तुम्हें कुछ कहना नहीं है.. बस थोड़ी देर और रुक जाना..   अर्जुन   मैं नहीं कर सकता. मुझे थोड़ा वक्त चाहिये ।   धर्मेंद्र   टैक्सी आ गई है।  ",राहुल ने सारी जिंदगी माँ से झूठ बोला।,rahul it will go away like this without talking to anyone rahul mother needs us arjun arjun mother needs you not us rahul she is not even talking to me and probably never will arjun whatever you can do it will never let him down rahul what if i told you that i lied to her my whole life and i m not interested in tia or any other girl for that matter rahul you don t have to say anything just wait for a while arjun i can t i need some time dharmendra the taxi has arrived,rahul lied to his mother all his life
1332,safirini bahut waqt le rahe hain aur ek ko qatl kar dete hain khalil isko qatl kar dete hain bahut pareshaan kar ke rakha hain safirini nahi isko katl nahi karenge wahi humaare kaam aa rahi hain safirini usse keh sabke passport le aaye pehle amrican phir doosre samjha khalil aye idhar aa what s your name neerja neerja,safirini sabke paasport laaega,1,"safirini    बहुत वक्त ले रहे हैं, और एक को कत्ल कर देते हैं   खलील    इसे कत्ल कर देते हैं, बहुत परशान कर के रखा है   सफिरीनी  नहीं। इस्को कटल नहीं करेंगे, वही हमारे काम आ रही हैं   साफीरिनी  उसी के, सबके पासपोर्ट ले आए, पहले अमरीकन, फिर दोसरे, समझौता   खलील  ऐ, इधर आ। तुम्हारा नाम क्या है ?   नीरजा  नीरजा।  ",सफीरिनी सबके पासपोर्ट लाएगा,safirini taking a lot of time and kills one isco will not cut he is working for us safirini he brought everyone s passport first american then second agreement khaleel aye come here what is your name neerja neerja,safirini will bring everyone s passport
527,sandhya le lo sandhya thank you bolne se shaan nahin ghat jaayegi aapki prem thank you prem tum so jao main thoda kaam kar raha hoon sandhya aapne mere gaane bhar diye prem nahin sandhya main kuch madad kar sakti hoon prem nahin tum so jao sandhya feels dejected,prem ko sandhya ki help ki zaroorat nahin hai,0,"संध्या  ले लो!   संध्या   धन्यवाद बोले से शान नहीं घाट जाएगी आपकी।   प्रेम   धन्यवाद।   प्रेम  तुम सो जाओ, मैं थोड़ा काम कर रहा हूं।   संध्या   आपने मेरे जाने भर दिए?   प्रेम   नहीं।   संध्या   मैं कुछ मदद कर सकती हूं?   प्रेम   नहीं, तुम सो जाओ। संध्या उदास महसूस करती है।  ",प्रेम को संध्या की मदद की जरूरत नहीं है।,sandhya take it sandhya thank you you will not lose your pride love thank you love you go to sleep i m working out a little sandhya you filled my life love not sandhya can i help prem no you go to sleep sandhya feels sad,prem doesn t need sandhya s help
1147,neelu ye wala kaisa hai titli achcha hai neelu theek se bol titli j a l d i k a r prince wait kar ra hoga bahar neelu tu kar le tujhe karni hai toh m u j h e time lagega c h o o j k a r n e mein budday gift hai pasand aana chahiye saamne waale ko titli kaam kar len pehle neelu main kaam hi kar ri hun apna,titli ko ye wala achcha laga,0,"नीलू   ये वाला कैसा है ?   तितली   अच्छा है।   नीलू   ठीक से बोल।   तितली   जे ए एल डी आई के ए आर। प्रिंस इंतजार कर रहा होगा बाहर।   नीलू   तू कर ले तुझे करनी है तो। एम यू जे एच ई टाइम लगेगा सी एच ओ ओ ओ जे के ए आर एन ई में। बडे गिफ्ट है, पसंद आना चाहिए सामने वाले को!   तितली   काम कर लेने पहले।   नीलू   मैं काम ही कर री हूं अपना!  ",तितली को ये वाला अच्छा लगा।,neelu how is this one butterfly good neelu well spoken butterfly j a l d i k a r prince will be waiting outside neelu if you do it you have to do it m u j h e time will take c h o o o j k a r n e it is a big gift the person in front should like it butterfly before you are done neelu i am doing my work,butterfly liked this one
140,dr tsering congestion badhta jaa raha hai dr tsering pakhi meri baat sun rahi ho dr tsering kissi garam jagah jaakar rahna chahiye tumhe zyaada jeeyogi pakhi marna to hai hi ek din doctor uncle kya karoongi ji kar dr tsering ek aur kitaab likh sakogi pakhi jo likh rahi hoon ussi mein hi saari zindagi khatam ho jaati hai,pakhi ko kisi garam jagah jaakar rehna chahiye,0,"डॉ। छेरिंग   कंजेशन बढ़ा जा रहा है...   डॉ. छेरिंग   पाखी... मेरी बात सुन रही हो?   डॉ। छेरिंग   किसी गरम जग जाकर रहना चाहिय तुमे... ज्यादा जीयोगी ...   पाखी   मरना तो है एक दिन डॉक्टर अंकल ... क्या करूंगी जी कर ?   डॉ। छेरिंग  एक और किताब लिख सकोगी ...   पाखी  जो लिख रही हूं, उसी में ही सारी जिंदगी खतम हो जाती है ...  ",पाखी को किसी गरम जग जाकर रहना चाहिए,doctor tsering congestion is increasing dr tsering pakhi are you listening to me doctor tsering you should live in a warm world pakhi i have to die one day doctor uncle what will i do doctor tsering will you be able to write another book pakhi the whole life ends in what i am writing,pakhi must stay in a warm world
810,priest nahi jajman agar aap mritu ka samay nahi batayenge to daah sanskaar nahi ho sakta priest jajmaan samay mrityu ka ramesh 2 baje subah ramesh i just made a rough guess sir ashwin arre roko roko ashwin 2 bhuttey lana neembu kam mirchi zyada ramesh main nahi khata bhutta ashwin apne liye manga raha hoon dono pata hai tum nahi khate bhutta ramesh kaise ashwin rough guess sir,ashwin sure tha ki ramesh bhutta nahi khata,1,"पुजारी  नहीं जजमान अगर आप मृत्यु का समय नहीं बताएंगे तो दाह संस्कार नहीं हो सकता ..   पुजारी  जजमान .. समय .. मृत्यु का ..   रमेश  2 बजे सुबाह ..   रमेश बनाया रफ गेस सर..   अश्विन   अरे रोको रोको.   अश्विन   2 भुट्टे लाना। नीम्बू काम, मिर्ची ज्यादा।   रमेश   मैं नहीं खाता भुट्टा।   अश्विन   अपने लिए मंगा रहा हूं दोनो। पता है तुम नहीं खाते.. भुट्टा.   रमेश   कैसे ?   अश्विन   ज़रा अंदाज़ा लगाओ सर।  ",अश्विन ज़रूर था की रमेश भुट्टा नहीं खाता।,priest no jajman if you don t tell the time of death then cremation can t happen priest jajman time of death ramesh morning at 2 am ramesh made rough guess sir ashwin oh stop stop ashwin bringing 2 corns lemon work more chili ramesh i do not eat corn ashwin i am ordering both for myself i know you don t eat corn ramesh how ashwin just guess sir,ashwin was sure that ramesh bhutta does not eat
5,rahul come on tia show me your moves tia kaunse moves rahul arrey har kisi ka ek trademark step hota hai jaise mera jab party shuru hoti hai toh main milk shake banata hoon rahul phir jaise mood banta hai main istri maarne lagta hoon aise aur jab music perfect ho toh main gaadi bhi dhone lagta hoon tia normally main aise nachti hoon rahul oooh yeh shampoo ad wala step hai tia lekin jab main bahut high ho jaati hoon toh main tia sexy chakki peesne waali ban jaati hoon,tia high hone ke baad istri maarti hai,0,"राहुल  आओ टिया, मुझे अपनी चाल दिखाओ!   टीआईए   कौनसे चलता है?   राहुल  अरे हर किसी का एक ट्रेडमार्क कदम होता है। जैसा मेरा? जब पार्टी शुरू होती है तो मैं मिल्क शेक बनाता हूं ...   राहुल  फिर जैसा मूड बन जाता है मैं इसत्री मार्ने लगता हूं, ऐसे ... और जब म्यूजिक परफेक्ट हो तो मैं गाड़ी भी फोन लगता हूं!   टीआईए  आम तौर पर मैं ऐसी नाचती हूं।   राहुल  ऊह ... ये शैम्पू विज्ञापन वाला कदम है ...   टीआईए  लेकिन जब मैं बहुत ज्यादा हो जाती हूं तो मैं   टीआईए  सेक्सी चक्की पीने वाली बन जाती हूं ..  ",टीआईए हाई होने के बाद इसत्री मारती है,rahul come on tia show me your trick tia who runs rahul hey everyone has a trademark move like mine when the party starts i make milkshakes rahul then as the mood strikes i start to marne like this and when the music is perfect i call the car too tia that s how i usually dance rahul oooh this is a shampoo ad move tia but when i get too much i become tia sexy chakki drinker,ironer kills after tia is high
58,noorudin haan shahid yeh nepal mein hua tha noorudin haan shahid apne nepal mein hone ka kuuch proof hai tumahare paas shahid agar yeh map is pant se baramad hui hai toh he moves forward and is about to pick a trouser judge wear a glove he picks up the blood soaked trouser anyways shahid is pant ki colour bata sakta hai koi tajjub yeh hai ki is map mein khoon ka ek katra nahin jab poori pant khoon ke rang se rang badal chuki hai sach to yeh hai ki map plant kiya gaya tha us pocket mein yeh map asliyat mein vahaan tha nahin prosecutor objection defence judge noted shahid that s all your honour,map mein thoda bhi khoon nahin laga hua hai,0,"नूरुदीन   हान ।   शाहिद   ये नेपाल में हुआ था ? ...   नूरुद्दीन   हां ।   शाहिद   अपने नेपाल में होने का कुछ सबूत है तुम्हारे पास?   शाहिद   आगर ये नक्शा है पंत से बारामद हुई है तो (वह आगे बढ़ता है और पतलून लेने ही वाला है)   जज   दस्ताना पहनो.. वह वैसे भी खून से लथपथ पतलून उठाता है ...   शाहिद   क्या पंत का रंग बता सकता है कोई ? ताजजुब ये है, की नक्शा में खून का एक कटरा नहीं, जब पूरी पंत, खून के रंग से रंग बदल चुका है। सच तो ये है की नक्शा प्लांट किया गया था हमें पॉकेट में... ये नक्शा असल में वहां था नहीं...   अभियोजक   आपत्ति . रक्षा.. न्यायाधीश   विख्यात... शाहिद   बस यही आपकी शान है।  ",मानचित्र में थोड़ा भी खून नहीं लगा हुआ है।,nooruddin yes shahid this happened in nepal nooruddin yes shahid do you have any proof of your being in nepal shahid agar ye map hai pant se baramad hai toh hai he moves ahead and is about to take trousers judge wear gloves he picks up blood soaked trousers anyway shahid can anyone tell the color of the pant the surprising thing is that there is not a single drop of blood in the map when the whole pant has changed color from the color of blood the fact is that the map was planted in our pocket this map was actually not there prosecutor objection defense judge noted shahid that s your pride,there is not even a little blood on the map
1933,saxena main warden se baat karoonga shahid thank you sir koi scholarship mil sakti hai war koi problem hai shahid ghar waalon se nahin maang sakta war main tumhari fees doonga shahid is puzzled war par omar aftab se milna band karoge shahid main aur kisi ko nahin jaanta yahaan war humein jaante ho shahid looks down war thik hai sunday ko tum uske saath chess khel sakte ho par marks kam aaye to sab band thik hai,shahid yahaan kisi ko nahin jaanta,1,"सक्सेना  मैं वार्डन से बात करूंगा ...   शाहिद  ​​धन्यवाद, सर ... कोई छात्रवृत्ति मिल सकती है ....   युद्ध  कोई समस्या है ...   शाहिद  ​​घर वालों से नहीं मांग सकता है   युद्ध  मैं तुम्हारी फीस दूंगा। शाहिद हैरान हैं...   युद्ध  पर उमर, आफताब से मिलना बंद करोगे?   शाहिद   मैं और किसी को नहीं जनता यहां।   युद्ध  हमें जाने हो ... शाहिद नीचे दिखता है ..   युद्ध  ठीक है, रविवार को तुम्हारे साथ शतरंज खेल सकते हैं। पर मार्क्स कम आए तो सब बैंड ... ठीक है ..  ",शाहिद यहां किसी को नहीं जनता।,saxena i will talk to the warden shahid thanks sir can get some scholarship war there is a problem shahid to the housemates can t ask for war i ll pay your fees shahid is shocked war but umar will you stop meeting aftab shahid i do not know anyone else here war we have to know shahid looks down war okay let s play chess with you on sunday but if the marks come less then all the bands ok,shahid does not know anyone here
583,priest nahi jajman agar aap mritu ka samay nahi batayenge to daah sanskaar nahi ho sakta priest jajmaan samay mrityu ka ramesh 2 baje subah ramesh i just made a rough guess sir ashwin arre roko roko ashwin 2 bhuttey lana neembu kam mirchi zyada ramesh main nahi khata bhutta ashwin apne liye manga raha hoon dono pata hai tum nahi khate bhutta ramesh kaise ashwin rough guess sir,ramesh bhutta nahi khata,1,"पुजारी  नहीं जजमान अगर आप मृत्यु का समय नहीं बताएंगे तो दाह संस्कार नहीं हो सकता ..   पुजारी  जजमान .. समय .. मृत्यु का ..   रमेश  2 बजे सुबाह ..   रमेश बनाया रफ गेस सर..   अश्विन   अरे रोको रोको.   अश्विन   2 भुट्टे लाना। नीम्बू काम, मिर्ची ज्यादा।   रमेश   मैं नहीं खाता भुट्टा।   अश्विन   अपने लिए मंगा रहा हूं दोनो। पता है तुम नहीं खाते.. भुट्टा.   रमेश   कैसे ?   अश्विन   ज़रा अंदाज़ा लगाओ सर।  ",रमेश भुट्टा नहीं खाता।,priest no jajman if you don t tell the time of death then cremation can t happen priest jajman time of death ramesh morning at 2 am ramesh made rough guess sir ashwin oh stop stop ashwin bringing 2 corns lemon work more chili ramesh i do not eat corn ashwin i am ordering both for myself i know you don t eat corn ramesh how ashwin just guess sir,ramesh bhutta does not eat
2016,devi hello yadav hello devi devi haan yadav saali randi phone kyon bandh tha itne din se kahaan se chudwa ke aa gayi sab pata kar liya humne tujhe kya lagta tha,devi ne sab pata kar liya hai,1,देवी   हेलो ?   यादव   हेलो... देवी ?   देवी   हां।   यादव   साली रैंडी ... फोन क्यों बंद था इतने दिन से ? कहां से चुडवा के आ गई...? सब पता कर लिया हमने... तुझे क्या लगता था..  ,देवी ने सब पता कर लिया है,devi hello yadav hello devi devi yes yadav sister in law randy why was the phone off for so long where did chudwa come from we have found out everything what did you think,devi has found out
792,jaan mohammad jee samjha kahan pahuchana hai babban woh bhee bataa denge pehle intezam kar jaan mohammad hello suniye bhaisaab jaan mohammad telephone exchange mein phone laga ke pata pooch aur launde le ke pahuch wahan pe muniya jaan bhai ab kya hoga jaan mohammad sab theek ho jaayega chup kar bus chup sab theek ho jaayega bank manager ko bol 10 karod cash chahiye kal subah,bank manager ko kal subah 10 crore chahiye,1,"जान मोहम्मद  जी समझ। कहां पहुचना है?   बब्बन  वो भी बता देंगे, पहले इंतेजम कर।   जान मोहम्मद   हेलो ? सुनिए .. भाईसाहब !   जान मोहम्मद   टेलीफोन एक्सचेंज में फोन लगा के पता पूछ और लॉन्डे ले के पहुच वहां पे।   मुनिया   जान भाई ! अब क्या होगा?   जान मोहम्मद   सब ठीक हो जाएगा। चुप कर बस चुप। सब ठीक हो जाएगा। बैंक मैनेजर को बोल 10 करोड़ कैश चाहिए कल सूबा।  ",बैंक मैनेजर को कल सूबा 10 करोड़ चाहिए,jaan mohammed yes i understand where to reach babban he will also tell do the arrangements first jan mohammed hello listen brother jan mohammed called the telephone exchange and asked for the address and reached there after taking the lawn muniya dear brother what will happen now jan mohammed everything will be fine just shut up everything will be alright the bank manager needs 10 crore cash tomorrow,bank manager needs 10 crore tomorrow
