,premise,hypothesis,labels,translated_premise,translated_hypothesis
437,"NEERJA : Go ! Mai aa jaaoongi , plane se niklo ! ## SANJANA: : Come ! ## NEERJA : Sanjana , tum jaao mai baaki passenger ko chute tak laati hoon ## SANJANA: : Dont be silly Neerja ! jaldi chalo ## NEERJA : Sanjana ! Please ! ## ",NEERJA sanjana ko plane se nikalne ko keh rahi hai,entailment,"नीरजा : जाओ ! माई आ जाएगी, प्लेन से निकलो! ## संजना: : आओ ! ## नीरजा : संजना , तुम जाओ मैं बाकी पैसेंजर को छुट तक लाती हूं ## संजना : मूर्ख मत बनो नीरजा ! जल्दी चलो ## नीरजा : संजना ! कृपया ! ##",नीरजा संजना को प्लेन से निकलने को कह रही है
438,OMAR : Wait ... Why am I running ... Do I even beli ... (Bullet passes his head) Fuckin hell ... Another bullet brushes his shoulder ... ## OMAR : Think . ## OMAR : I am one of the hostages . I am from England ... My name is Rajeev Verma . ## COP : Arrey yeh kidnapper na hai ... ## COP : Phir bhaga kyon bahanchod ... ## COP : Abey maar mat ... goli lag rakhi hai isse ... mar maraa gaya toh ... ## COP : Jeep mein daal ... Agar dogla hua .. ## ,OMARP ko Jeep mein daala ja raha hai,contradictory,उमर : रुको ... मैं क्यों दौड़ रहा हूं ... क्या मैं भी बेली ... (बुलेट उसके सिर से गुजरती है) साला ... एक और गोली उसके कंधे को छूती है ... ## उमर : सोचो। ## उमर : मैं बंधकों में से एक हूं। मैं इंग्लैंड से हूँ ... मेरा नाम राजीव वर्मा है। ## पुलिस वाले : अरे ये अपहरणकर्ता ना है ... ## पुलिस वाले : फिर भागा क्यों बहनछोड़ ... ## पुलिस वाले : अबे मार मत... गोली लग राखी है इसे ... मर मारा गया तो ... ## सिपाही : जीप में दाल... आगर दोगला हुआ.. ##,उमर को जीप में डाला जा रहा है
439,RAJPAL : Doctor ki botal se aur sharaab pi .. Phir .. Kanhaiya ... ## DR SWAMY : Phir kya hua ? Kanhaiya kahan tha ? ## RAJPAL : Kanhaiya Shruti baby ke room mein gaya . Woh vahin padi thi . Main .. Main bahot dar gaya . Par usne .. Usne .. ## RAJPAL : Kaat dala ! Kanhaiya ne Shruti baby ka bhi gala kaat dala . ## ,RAJPAL bahot dar gaya. ,entailment,राजपाल : डॉक्टर की बोतल से और शरब पी.. फिर.. कन्हैया... ## डॉ स्वामी : फिर क्या हुआ? कन्हैया कहां था? ## राजपाल : कन्हैया श्रुति बेबी के रूम में गया। वो वही पड़ी थी। मैं.. मैं बहुत दर गया। उसने..उसने.. ## राजपाल : कट डाला ! कन्हैया ने श्रुति बेबी का भी गला काट डाला। ##,राजपाल बहुत दर गया।
440,ANCHOR : Haal filhaal ki kuchh ghatnaon - jaise Surajkund case ki vajah se samaaj mein aaj ek behas chhidi hui hai - yeh behas azaadi ya personal expression ke virudh khadi karti hai acceptabilty ya samajik maap dandon ko - Swamiji aapse pochhna chahungi - baar baar auraton pe hi chhote chhote pratibandh kyun ? ## SWAMI JI : Kyunki shaleenta auraton ka hi gehna hai ! ## AD GURU : What nonsense Swami Ji ? What is this - a mythological TV serial in which we are living ! ## SOCIALITE : Aise attitudes naturally Patriachal societies mein kafi hadh tak prevail kartey hain ! ## MOTHER : Minu tu ... tu ... tu kuchh aisa vaisa mat karna ... tu ... ## MINAL : Utni kamzor nahi hoon main Maam - nahi toh baat yahan tak pahunchti ? ## ,MINAL bahut kamzor hai,contradictory,मैं एंकर: हाल फिल्हाल की कुछ घाटों - जैसे सूरजकुंड मामले की वजह से समाज में आज एक Behas छिड़ी हुई है - ये प्यार आजादी या व्यक्तिगत अभिव्यक्ति के खिलाफ खादी कार्ति है स्वीकार्यता या सामाजिक बार - जी हां मालिक को - हाय छोटे छोटे प्रतिबंध क्यूं? ## स्वामी जी : क्योंकि शालीनता औरतों का ही गहना है! ## AD गुरु : क्या बकवास है स्वामी जी ? यह क्या है - एक पौराणिक टीवी सीरियल जिसमें हम रह रहे हैं ! ## समाज : ऐसा रवैया स्वाभाविक रूप से पितृसत्तात्मक समाजों में कफी हद तक प्रबल होता है! ## माँ : मीनू तू ... तू ... तू कुछ ऐसा वैसा मत करना ... तू ... ## मिनल : उतनी कामजोर नहीं हूं मैं मैम - नहीं तो बात यहां तक ​​पहुंचती ? ##,मीनल बहुत कमज़ोर है
441,RAJPAL : Doctor ki botal se aur sharaab pi .. Phir .. Kanhaiya ... ## DR SWAMY : Phir kya hua ? Kanhaiya kahan tha ? ## RAJPAL : Kanhaiya Shruti baby ke room mein gaya . Woh vahin padi thi . Main .. Main bahot dar gaya . Par usne .. Usne .. ## RAJPAL : Kaat dala ! Kanhaiya ne Shruti baby ka bhi gala kaat dala . ## ,Shruti ne Kanhaiya ka gala kaat daala,contradictory,राजपाल : डॉक्टर की बोतल से और शरब पी.. फिर.. कन्हैया... ## डॉ स्वामी : फिर क्या हुआ? कन्हैया कहां था? ## राजपाल : कन्हैया श्रुति बेबी के रूम में गया। वो वही पड़ी थी। मैं.. मैं बहुत दर गया। उसने..उसने.. ## राजपाल : कट डाला ! कन्हैया ने श्रुति बेबी का भी गला काट डाला। ##,श्रुति ने कन्हैया का गला काट डाला
442,RITWIK : Yaar mera call hi le letey ya call karkey bata detey ! ## ANDREA : I didn't want to bother you - but aaj kuchh samajh mein hi nahi aa raha tha ! I thought ki si aur se baat karkey aur clearity aayegi ! ## RITWIK : Clearity hai tum logon ko ! Really you girls are brave - jab galti nahi hai toh bhaago mat - maafi mat maango - aur Minal ko jaake wapis complaint karni chahiye . ## ANDREA : They are here . ## RITWIK : Listen we got to pa- ## ANDREA : They are here . They are here . ## ,RITWIK ko lagta hai ke Minal ko jaakar maafi maangni chahiye,contradictory,ऋत्विक : यार मेरा कॉल हाय ले लेटे या कॉल करके बता ! ## एंड्रिया: मैं आपको परेशान नहीं करना चाहता था - लेकिन आज कुछ समझ में ही नहीं आ रहा था! मैंने सोचा कि सी और से बात करके और क्लियरिटी आएगी! ## ऋत्विक : स्पष्टता है तुम लोगों को! सच में तुम लड़कियाँ बहादुर हो - जब गल्ती नहीं है तो भागो मत - माफ़ी मत मानगो - और मीनल को जाके वापसी शिकायत करनी चाहिए। ## एंड्रिया: वे यहाँ हैं। ## ऋत्विक : सुनिए हम पा- ## एंड्रिया : वे यहां हैं। वे यहाँ हैं । ##,ऋत्विक को लगता है के मिलन को जा कर माफ़ी मांगनी चाहिए
443,"NEELU : Tension k y o n lera h a i ? Le bhi liye toh de denge paise wapas . Bol toh rahe hain . ## TITLI : Maan ke lorre hain . Ek baar haath lag gaya na cash , wapas na aana . ## NEELU : Ye kya hai ? ## TITLI : Kya ? ## NEELU : Haath mein tere ? ## TITLI : Gift . Vaishnodevi se . Parivaar ki jimmedaari hai , rakhle mere baad tere pe aani hai , bol ke diya tha Vikram ne . ## ",TITLI tension le raha hai,entailment,"नीलू : टेंशन k y o n lera h a i ? ले भी लिए तो दे देंगे पैसे वापस। बोल तो रहे हैं। ## तितली : मान के लोरे हैं। एक बार हाथ लग गया न कैश, वपस न आना। ## नीलू : ये क्या है? ## तितली : क्या ? ## नीलू : हाथ में तेरे? ## तितली : उपहार। वैष्णोदेवी से. परिवार की जिम्मेदारी है, रखले मेरे बाद तेरे पे आनी है, बोल के दिया था विक्रम ने। ##",तितली टेंशन ले रहा है
444,"PATHAK : Kahaan they ? ## JHONTA : Masti . ## PATHAK : Kaam ke time masti ? Bahut gooda aa gaya ! ## JHONTA : Apne paise se gaye they ... aapki kaahe sulag rahi hai ? ## PATHAK : Kal se gota maarne ke time yahaan rahoge . Aur tumhara paisa hum rakhenge ! ## JHONTA : Kaahe ? ## PATHAK : Kaahe ki tum shahanshah na bann jaao ... aur sab uda na do . Jab bade ho jaaoge , tab le lena . Hisaab se rakhenge ! ## JHONTA : Hum didi se bol denge ... ## PATHAK : Bolo jo bolna hai . ## ",PATHAK ne JHONTA se kaha ki sab uda do.  ,contradictory,"पाठक : कहन वे? ## झोंटा : मस्ती। ## पाठक : काम के टाइम मस्ती ? बहुत अच्छा आ गया! ## झोंटा : अपने पैसे से गए वे... आपकी कहां सुलग रही है? ## पाठक : कल से गोटा मारने के समय यहां रहेंगे। और तुम्हारा पैसा हम रखेंगे! ## झोंटा : काहे ? ## पाठक : काहे की तुम शहंशाह न बन जाओ... और सब उड़ न दो। जब बड़े हो जाओगे, तब ले लेना। हिसाब से रखेंगे! ## झोंटा : हम दीदी से बोल देंगे... ## पाठक : बोलो जो बोलना है। ##",पाठक ने झोंटा से कहा की सब उड़ दो।
445,RANI : honeymoon pe ... pata hai ... eleventh se jama kar rahi hoon ... aur ab to joint account kholna hi hai ... ## FEMALE CASHIER : Goa ? ## RANI : Arey nahi ... foreign trip hai ... Paris aur amsterdam ! fifty fifty kiya hai .. Paris ka main de rahi hoon ... aur amsterdam ka voh ... baaki shopping ke liye bacha ke rakha hai ... ## FEMALE CASHIER : To phir kab ? ## RANI : Bus ... one month mein ... shaadi ke next day hi chaley jaana hai humney ## ,RANI shaadi ke din hi honeymoon pe chali jaaegi,contradictory,रानी : हनीमून पे ... पता है ... ग्यारहवें से जमा कर रही हूं ... और अब संयुक्त खाते खोलना ही है ... ## महिला कैशियर: गोवा? ## रानी : अरे नहीं ... विदेश यात्रा है ... पेरिस और एम्स्टर्डम! पचास पचास किया है .. पेरिस का मैं दे रही हूं ... और एम्स्टर्डम का वो ... बाकी शॉपिंग के लिए बचा के रखा है ... ## महिला कैशियर: तो फिर कब? ## रानी : बस ... एक महीने में ... शादी के अगले दिन ही चले जाना है हम ##,रानी शादी के दिन ही हनीमून पर चली जाएगी
446,KASTURI : Na h i s a m a j h m e in a a r a h a h a i puttar . ## SANJEEV : Kya baat hai Andrea ? ## ANDREA : Nothing Sir voh ... ## SANJEEV : Arrey ... have ... chill yaar .. kaam kiya hai itna ... le na abhi ! ## SANJEEV : Kya hai ... hua kya hai ... life mein sab hota hai yaar ... chal na beer pi ! ## SANJEEV : Arrey your beer ... leke ja naa tu ! ## ,SANJEEV ANDREA ko beer pine ko keh raha hai. ,entailment,कस्तूरी : ना ह आई एस ए एम ए जे एच एम ई इन ए ए आर ए एच ए एच ए आई पुत्तर . ## संजीव : क्या बात है एंड्रिया? ## एंड्रिया: कुछ नहीं सर वो ... ## संजीव: अरे ... है ... चिल यार .. काम किया है इतना ... ले ना अभी! ## संजीव: क्या है ... हुआ क्या है ... जिंदगी में सब होता है यार ... चल ना बीयर पी ! ## संजीव : अरे अपनी बीयर... लेके जा ना तू! ##,संजीव एंड्रिया को बीयर पाइन को कह रहा है।
447,"APU : Tera baap kya karta hai ? ## ROHAN : Steel . Forging ki factory hai ... ## APU : Ah steel ... Jamshedpur ka apna , steel ka sapna ... ## AMBER : Steel city , green city , clean city ... ## APU : Bolo steel bhagwan ki ... ## EVERYONE : Jai ! ## ","Amber ne kaha Steel city, green city, smart city",contradictory,"APU : तेरा बाप क्या करता है ? ## रोहन : स्टील । फोर्जिंग की फैक्ट्री है ... ## एपीयू: आह स्टील ... जमशेदपुर का अपना, स्टील का सपना ... ## एम्बर: स्टील सिटी, ग्रीन सिटी, क्लीन सिटी ... ## एपीयू: बोलो स्टील भगवान की। .. ## हर कोई : जय ! ##","अंबर ने कहा स्टील सिटी, ग्रीन सिटी, स्मार्ट सिटी"
448,"MARIAM : Aap yahaan fees ke liye aaye hain ? ## SHAHID : Nahin .. ## MARIAM : Jitne lawyers main dekh chuki hoon , log apni poori zindagi mein nahin dekhte . Lucky people . Shahid stays quiet ... ## MARIAM : Maine koshish ki but nahin ho saka . Main property sale ka ek %age de sakti hoon .. ## SHAHID : Sir ne ... ## MARIAM : Kya ? ## SHAHID : Paise hearing se pahle chahiye . ## MARIAM : I cant ... ## SHAHID : I am really sorry ... ## MARIAM : Please go ... ## ",SHAHID yahan fees ke liye aaya hai,contradictory,"मरियम : आप यहां फीस के लिए आए हैं? ## शाहिद: ​​नहीं .. ## मरियम: जितने वकील मैं देख चुकी हूं, लोग अपनी पूरी जिंदगी में नहीं देखते। भाग्यशाली लोग । शाहिद चुप रहते हैं... ## मरियम: मैंने कोशिश की लेकिन नहीं हो सका। मुख्य संपत्ति बिक्री का एक% उम्र दे शक्ति हूं .. ## शाहिद: ​​सर ने ... ## मरियम: क्या? ## शाहिद : पैसे सुनने से पहले चाहिए। ## मरियम : मैं नहीं कर सकता ... ## शाहिद : मुझे सच में खेद है ... ## मरियम : कृपया जाओ ... ##",शाहिद यहां फीस के लिए आया है
449,"RAHUL : Nice ! Toh hamare beech jo kuch bhi hua ... woh sab ek dost ki tarah ? ## RIANA : Kya hua hai hamare beech Rahul ? ## RAHUL : Jab tumne mujhe apne saath India bulaya , toh that was as a friend ? ## RIANA : Ofcourse ! Tumhe ek break ki zaroorat thi . Tumne meri itni madat ki .. Ki agar main tumhare liye kuch kar ---- ## RAHUL : Ehsaan lauta rahi thi ? ## RIANA : Nahi Rahul main tumhe mislead nahi karna chahti thi . I just wanted to take care of you . ## RAHUL : I can take care of myself Riana , main 25 saal ka hoon . ## RIANA : Aur phir bhi apne parents se jooth bol rahe ho ? ## ",RAHUL 25 saal ka hai. ,entailment,"राहुल : अच्छा ! तो हमारे बीच जो कुछ भी हुआ... वो सब एक दोस्त की तरह? ## रियाना : क्या हुआ है हमारे बीच राहुल ? ## राहुल : जब तुमने अपने साथ भारत बुलाया, तो क्या वो दोस्त था? ## रियाना : बिल्कुल ! तुम्हें एक तोड़ की जरूरी थी। तुमने मेरी इतनी मदद की.. की अगर मैं तुम्हारे लिए कुछ कर ---- ## राहुल: एहसान लौट रही थी? ## रियाना : नहीं राहुल मैं तुमे गुमराह नहीं करना चाहती थी। मैं सिर्फ तुम्हारा ख्याल रखना चाहता था। ## राहुल: मैं अपना ख्याल रख सकता हूं रियाना, मैं 25 साल का हूं। ## रियाना : और फिर भी अपने माता-पिता से जूते बोल रहे हो? ##",राहुल 25 साल का है।
450,"TIA : Aaaaa ! Ssoooo spicyyyy ! I love it . ## RAHUL : Yeh lo ... ## RAHUL : Ummm .. Woh yahan kuch .. ## TIA : Oh thanks ! Uh , tumhare naak se kuch ... ## RAHUL : Oh , sorry ... ## TIA : Just messing with you . ## RAHUL : Ha ha ha ... ## TIA : Tumhare liye zyaada yucky kya hoga ? Daant mein atka hua chicken , ya naak se latka hua booger ? ## RAHUL : Booger ! Definitely booger ! ## ",TIA is just messing with RAHUL,entailment,"टीआईए: आआआ! बहुत मसालेदार! मुझे यह पसंद है । ## राहुल : ये लो ... ## राहुल : उम्म्म .. वो यहाँ कुछ .. ## टीआईए : ओह थैंक्स ! उह, तुम्हारे नाक से कुछ ... ## राहुल: ओह, सॉरी ... ## टीआईए: बस तुम्हारे साथ खिलवाड़। ## राहुल : हा हा हा ... ## टीआईए : तुम्हारे लिए ज़्यदा यकी क्या होगा ? दांत में अटका हुआ चिकन, हां नाक से हुआ बूगर? ## राहुल : बूगर ! निश्चित रूप से बूगर! ##",टीआईए सिर्फ राहुल के साथ खिलवाड़ कर रही है
451,RITA : Ruk jao 5 minute .. ## PUSHPA : Kya hua ? Kahan ? Koi aaya hai ? Kya ? Arre kya haath nacha rahe ho ? Hain- kya ho gaya- saanp ? Saanp aa gaya ? ## MOTHER : Gardan mein kuch ho gaya ? Phir- kaan mein- dikhao .. Phone ? ## MOTHER : Kisko phone karna hai ? Doctor ko ? Arre kya ho gaya ? Likh ke bata do .. ## RITA : Kya hua Bauji ? Sab theek .. Bauji makes a resigned gesture . ## ,MOTHER PUSHPA ko Likh ke batane ko keh rahi hai. ,entailment,रीता : रुक जाओ 5 मिनट.. ## पुष्पा : क्या हुआ ? कहन? कोई आया है? क्या? अरे क्या हाथ नचा रहे हो? हैं-क्या हो गया-संप? सांप आ गया? ## मां : बगीचे में कुछ हो गया? फिर-कान में-दिखाओ .. फोन? ## मां : किसको फोन करना है? डॉक्टर को? अरे क्या हो गया? लिख के बताता दो.. ## रीता : क्या हुआ बाउजी ? सब ठीक .. बाउजी ने इस्तीफा दे दिया। ##,मदर पुष्पा को लिख के बताने को कह रही है।
452,VIKRAM : Voh dekh ... doosri picture chal rahi hai ... uss ki biwi ghar pe so rahi hogi aur saala yahaan ayyaashi kar raha hai ... Oye uncle ... ## MUNINDER : Kya hua ? ## MUNINDER : Kaun hai ? ## MUNINDER : Rathod !? ## BENOY : Chhod na ... ## ,uski biwi ghar pe so rahi hogi aur wo yahan aiyaashi kar raha hai,entailment,विक्रम : वो देख ... दूसरी तस्वीर चल रही है ... उस की बीवी घर पे सो रही होगी और साला यहां अय्याशी कर रहा है ... ओए अंकल ... ## मुनिन्दर : क्या हुआ ? ## मुनिन्दर : कौन है ? ## मुनिन्दर : राठौड़ !? ## बेनॉय : छोड ना... ##,उसकी बीवी घर पे सो रही होगी और वो यहां अयाशी कर रहा है
453,BOATMAN : Raja Ghaat ... Raja Ghaat ... boating ...? Haan ... madam ... Raja Ghaat ? ## DEVI : Kitna logey ? ## BOATMAN : 50 rupaya ... Haan bhai ... Raja Ghat ? 50 rupaya ... aao ... ## DEEPAK : 30 theek hai ... ## BOATMAN : Chalo 70 mein donon ka ... aao ... baitho . ## ,BOATMAN Raja Ghaat ka fifty rupee maang raha hai,entailment,नाविक : राजा घाट... राजा घाट... नौका विहार...? हां... मैडम... राजा घाट ? ## देवी : कितना लोगी ? ## नाविक : 50 रुपये ... हां भाई ... राजा घाट ? 50 रुपये ... आओ ... ## दीपक : 30 ठीक है ... ## नाविक : चलो 70 में दों का ... आओ ... बैठाओ। ##,नाविक राजा घाट का पचास रुपये मांग रहा है
454,"DEBDAS : Aap logon ko yahaan khudaai karni hai , kya karna hai ... ## DEBDAS : To ... (imitating Dev Anand) Phir savaal ye hai ki ... aapko khodna aata hai ? ## DEBDAS : Very good ... ## DEBDAS : Hum khod rahe hain kyonki ... zameen hai , usse ... khodte hain ... ## DEBDAS : Andar hi to hai jo hai ... baahar to sirf ... ## DEBDAS : Vah ... bhai mujhe nahin pata ... bade saahab ko pata hai ... ## DEBDAS : Ye theek hai ... ## ",Jo hai wo andar hi hai,entailment,"देबदास : आप लोगों को यहां खुदाई करनी है, क्या करना है... ## देबदास : तो ... (देव आनंद की नकल करते हुए) फिर सवाल ये है की ... आपको खुदा आता है? ## देबदास : बहुत अच्छा ... ## देबदास : हम खोड रहे हैं क्यों ... जमीन है , उसे ... खोदते हैं ... ## देबदास : अंदर ही तो है जो है ... बहार तो सिरफ । .. ## देबदास : वाह ... भाई मुझे नहीं पता ... बड़े साहब को पता है ... ## देबदास : ये ठीक है ... ##",जो है वो अंदर ही है
455,"JAYA : Sandhya Bhabhi , Kanoon ki naa sahi - hamari hi sun lo . ## SANDHYA : Pehle inko bolo mujhse maufi maangane ko . ## PREM : Hath kisne pahle uthaya tha ? Maufi pehle tum maango . ## SANDHYA : Aur majboor kaun kara mujhe , hain ? Pehle tum sorry bolo . ## PREM : Sorry . ## SANDHYA : Sorry . ## HEMA/REKHA : Chal pado ghar , sab theek ho jaayega . ## PREM'S FATHER : Bahu , main jimmedari leta hoon sab cheej ki . Chal par baapis . ## SAMAR : Buaji , B . Tech . se badiya toh L . L . B . kar leta hoon main ! Aane waale time mein bahut kamayi hone waali hai , is kaam mein . ## ",SANDHYA PREM se sorry bulwana chaahati hai,entailment,"जया: संध्या भाभी, कानूनों की ना सही-हमारी ही सुन लो। ## संध्या: पहले इनको बोलो मुझसे मौफी मांगने को। ## प्रेम : हाथ किसने पहले उठा था ? मौफी पहले तुम मैंगो। ## संध्या : और मजबूर कौन करा मुझे है? पहले तुम सॉरी बोलो। ## प्रेम : क्षमा करें। ## संध्या : सॉरी। ## हेमा/रेखा : चल पडो घर, सब ठीक हो जाएगा। ## प्रेम के पिता : बहू, मैं जिम्मेदारी लेता हूं सब चीज की। चल पर बापिस। ## समर : बुआजी, बी. टेक. से बडिया तो एल। एल. बी । कर देता हूं मैं! आने वाले समय में बहुत कामयी होने वाली है, काम में है। ##",संध्या प्रेम से सॉरी बुलवाना चाहता है
456,SONAL : Lo bhai le aayi main tera passport aur ticket ## SONAL : Tujhsey zyada to main excited hoon ... ke finally tera vrat to tootega ... ## RANI : Chup kar paagal mummy sunn legi ## SONAL : Truousseau wala suitcase hai ? ## RANI : Nahin voh to voh pada ... yeh honeymoon wala ## RANI : Hai na achhey suit ? ## SONAL : kya fayda ## RANI : Kyun ? ## SONAL : Peheney ka chance kahan dega voh ## RANI : Chhee ## SONAL : Lingaree li ? ## RANI : Haan lovable ki satin wali ## SONAL : Aur negligee ? ## RANI : Matlab ? ## SONAL : Main janti thi ... main cheez to tu le ke nahin ja rahi ... ## RANI : Hawwww ## SONAL : Hai na ## ,SONAL RANI ka  passport aur ticket le aayi.,entailment,सोनलः लो भाई ले आई मैं तेरा पासपोर्ट और टिकट है? ## रानी : नहीं वो तो वो पड़ा ... ये हनीमून वाला ## रानी : है ना अच्छे सूट ? ## सोनल : क्या फ़ायदा ## रानी : क्यूं ? ## सोनल: पहनने का मौका कहां देगा वो ## रानी: छे ## सोनल: लिंगरी ली? ## रानी : हां प्यारी की साटन वाली ## सोनल : और लापरवाही ? ## रानी : मतलाब ? ## सोनल : मैं जनता थी ... मैं चीज तो तू ले के नहीं जा रही ... ## रानी : हवा ## सोनल : है ना ##,सोनल रानी का पासपोर्ट और टिकट ले आई।
457,"SI BENIWAL : Area mein poochh-taachh kar rahe hain . Kuchh habitual offenders ki questioning bhi chalu hai . Madam , aapne unka registration number note kiya hota toh matter kaafi simple hota . ## SI BENIWAL : Nahin ? ## SI BENIWAL : Yeh shaher badhta bachcha hai , Sir . Kood to lagaayega hee . Aapko inko aise raat mein akele travel nahi karne dena chahiye . ## SI BENIWAL : Aapki DIG saab se achchi pehchaan hai . Aap inke liye ek gun licence kyon nahi apply kar lete ? ## MEERA : Gun ? ## ",SI BENIWAL ki DIG sahab se achhi pehchaan hai,contradictory,"सी बेनीवाल : एरिया में पूछ-ताछ कर रहे हैं. कुछ आदतन अपराधी की पूछताछ भी चालू है। मैडम, आपने उनका रजिस्ट्रेशन नंबर नोट किया होता तो बात काफ़ी सिंपल होता। ## एसआई बेनीवाल : नहीं ? ## एसआई बेनीवाल: ये शहर बदलता बच्चा है, सर। कूड टू लगायेगा ही। आपको इन्हें ऐसे रात में अकेले ट्रैवल नहीं करना देना चाहिए। ## एसआई बेनीवाल: आपकी डीआईजी साब से अच्छी पहचान है। आप इनके लिए एक बंदूक लाइसेंस क्यों नहीं अप्लाई कर लेते हैं? ## मीरा : बंदूक ? ##",सी बेनीवाल के डीआईजी साहब से अच्छी पहचान है
458,ASHWIN : Nahi . Nahi . Come on Ashwin .. ## ASHWIN : Ullu ka pattha .. ## ASHWIN : Dr . Tandon .. Ashwin Kumar .. I'm handling your case .. Kuch sawaal poochne hain aapse . ## VEDANT : 15 March raat kitne baje sone gaye aap ? ## ASHWIN : Laghbhag 11 baje . ## VEDANT : Uss raat saadhe gyaarah baje se subah 6 baje ke beech mein Internet router kai baar on off hua . Any explanation ? ## RAMESH : No . ## VEDANT : Subah kitne baje sokar uthhe aap ? ## ,RAMESH ne mana ki Uss raat Internet router kai baar on off hua. ,contradictory,अश्विन: नहीं। नहीं। आ अश्विन .. ## अश्विन : उल्लू का पाठ.. ## अश्विन : डॉ. टंडन .. अश्विन कुमार .. मैं आपका केस संभाल रहा हूं .. कुछ सवाल पूछने हैं आप। ## वेदांत : 15 मार्च रात कितने बजे सोने गए आप? ## अश्विन : लगभाग 11 बजे। ## वेदांत: उस रात साधे ग्याराह बजे से सुबह 6 बजे के बीच में इंटरनेट राउटर काई बार ऑन ऑफ हुआ। कोई स्पष्टीकरण? ## रमेश : नहीं। ## वेदांत : सुबह कितने बजे सोकर उठे आप? ##,रमेश ने माना की उस रात इंटरनेट राउटर काई बार ऑन ऑफ हुआ।
459,"JUNIOR OFFICER : Sir , Dr . Tandon ka compounder hai .. Khempal uske gaon se hi hai .. ## KANHAIYA : Saab .. thoda rasiya type ka hai apna Khempal .. Ek number ka tharki .. Shruti baby pe dil aaya hua tha uska .. ## JUNIOR OFFICER : Par Wo to dada hai na ? Do pote hain uske . ## KANHAIYA : To ... Dada ke bhi to dil hota hai na saab .. ## ",Dr. Tandon ka compounder Khempal ke gaon se hai,entailment,"कनिष्ठ अधिकारी : महोदय, डॉ. टंडन का कंपाउंडर है .. खेमपाल उसके गांव से ही है .. ## कन्हैया: साब .. छोटा रसिया टाइप का है अपना खेमपाल .. एक नंबर का थरकी .. श्रुति बेबी पे दिल आया था उसका .. ## जूनियर ऑफिसर : पर वो तो दादा है ना ? दो पोते हैं उसके। ## कन्हैया : तो ... दादा के भी तो दिल होता है ना साब .. ##",डॉ. टंडन का कंपाउंडर खेमपाल के गांव से हैं
460,GOGIA : Ye illegal hai . ## SANGA : Aur aap jo sab kar rahe hain phone par wo sab legal hai ? ## GOGIA : Phone tapping kisi bhee court mein saboot nahi ban sakti . ## PAUL : Aur Public court mein ? Kaun sa paper aata hai aapke yahan ? TOI ya HT ? ## ,SANGA phone par illegal kaam kar raha hai,contradictory,गोगिया: ये अवैध है। ## SANGA : और आप जो सब कर रहे हैं फोन पर वो सब कानूनी है? ## गोगिया : फोन टैपिंग किसी भी कोर्ट में सबूत नहीं बन सकती। ## पॉल : और पब्लिक कोर्ट में ? कौन सा पेपर आता है आपके यहां? टीओआई या एचटी? ##,संगा फोन पर अवैध काम कर रहा है
461,BABLU : Aap achha samjhaati hain ! ## BABLU : Pahli naukri hai ? ## DEVI : Nahin . ## BABLU : Pichhli naukri kya huyi ? ## DEVI : Kaam achha nahin tha . ## BABLU : Mujhe pata hai aap Yadav ke udhar thi . ## ,DEVI  Pichhli naukri mein Yadav ke saath kaam kar rahi thi.  ,entailment,बबलू : आप अच्छा समझौता है ! ## बबलू : पहली नौकरी है ? ## देवी : नहीं। ## बबलू : पिछली नौकरी क्या हुई ? ## देवी : काम अच्छा नहीं था। ## बबलू : मुझे पता है आप यादव के उधार थी। ##,देवी पिच्ली नौकरी में यादव के साथ काम कर रही थी।
462,BHAIRAV : Gaadi chalaana kahan seekha ? ## ROHAN : School mein ... chuttiyon mein hum Mr . Pasli ki gaadi chalaate the ... saaf karte the ... uska mujhe pocket money milta tha ... ## BHAIRAV : Tumhaare baare mein aur kya hai jo hum nahin jaante ? ## BHAIRAV : Cigarette peete ho ? ## ROHAN : Nahin . ## BHAIRAV : Sharaab ? ## ROHAN : Nahin . ## BHAIRAV : Girlfriend hai koi kahin ? ## ROHAN : Nahin . ## BHAIRAV : Sex kiye ho ? ## ROHAN : NO ! Aap so jaao ... ## BHAIRAV : Awaaz ooncha mat karo ... ## BHAIRAV : Apne baap ke liye koi izzat nahin hai tumhaare andar ... ## ,ROHAN ne Gaadi chalaana School mein seekha.,entailment,भैरव : गाड़ी चलाना कहाँ सीखा ? ## रोहन : स्कूल में... छुटियों में हम मि. पसली की गाड़ी चलते थे ... साफ करते थे ... उसका मुझे पॉकेट मनी मिला था ... ## भैरव: तुम्हारे बारे में और क्या है जो हम नहीं जाते? ## भैरव : सिगरेट पीट हो ? ## रोहन : नहीं। ## भैरव : शरब ? ## रोहन : नहीं। ## भैरव : गर्लफ्रेंड है कोई कहिन ? ## रोहन : नहीं। ## भैरव : सेक्स किया हो ? ## रोहन : नहीं ! आप सो जाओ ... ## भैरव : आवाज ऊंचा मत करो ... ## भैरव : अपने बाप के लिए कोई इज्जत नहीं है तुम्हारे अंदर ... ##,रोहन ने गाड़ी चलाना स्कूल में सीखा।
