,premise,hypothesis,labels,english_premise,english_hypothesis
148,"NEELU : Tension k y o n lera h a i ? Le bhi liye toh de denge paise wapas . Bol toh rahe hain . ## TITLI : Maan ke lorre hain . Ek baar haath lag gaya na cash , wapas na aana . ## NEELU : Ye kya hai ? ## TITLI : Kya ? ## NEELU : Haath mein tere ? ## TITLI : Gift . Vaishnodevi se . Parivaar ki jimmedaari hai , rakhle mere baad tere pe aani hai , bol ke diya tha Vikram ne . ## ","TITLI keh raha hai ki ek baar mere haath cash lag gaya, toh main wapas nahin doonga. ",contradictory,"Neelu : Tension k y o n lera h a i ? Even if you take it, you will give the money back. They are speaking. ## Butterfly : Man's Lore. Once I got my hand, I didn't get any cash, I didn't come back. ## Neelu: What is this? ## Butterfly : What? ## Neelu : In your hand? ## Butterfly : Gift. from Vaishnodevi. It is the responsibility of the family, keep me after you, you have to come, Vikram had given the lyrics. ,","It has been the belief of Titli that once I have got the cash, I will not give it back."
149,"SAXENA : Jeeta reh ... ## WAR : Dr . Saxena . Professor , Punjab University ... ## SHAHID : Hunh ... ## WAR : Yeh mujhe , Srinagar mein garib bachchon ke liye civil services ki institute kholne mein madad karenge .. ## SHAHID : Civil services kyun ? ## WAR : To change the system , you have to be a part of it . ## SHAHID : Paise ?... ## WAR : Abbu ne thik thak choda hai . ## SHAHID : Sorry , ## WAR : Main bhi . Wajah bhi main hi tha . ## ","To change the system , you have to be a part of it",entailment,"Saxena : Stay alive... ## War : Dr. Saxena. Professor, Panjab University... ## Shahid: I am... ## War: It will help me to open an institute of civil service for poor Bachchans in Srinagar.. ## Shahid: Why civil service? ## War: To change the system, you have to be a part of it. ## Shahid: Money? ... ## War: Abbu was fine. ## Shahid: Sorry, ## War: Me too. I was the reason too. ,","To change the system, you have to be part of it"
150,MISHRA : Kitna hai ? ## PATHAK : Filhaal toh 30 hai . ## MISHRA : Aage Pappu ki dukaan hai scooter ki ... udhar bech do jaa ke . 10-15 iska bhi mil jaayega . ## PATHAK : Nahin ab hum kama rahe hain ... ek jugaad baitha hai ... pakka ab paisa ho jaayega . Bike bech denge toh ... ## MISHRA : Yeh footkar nahin chalega . (returns the packet to Pathak) Aapko kitna baar bolna padega ? ## PATHAK : Agle hafte tak nahin hua iss mahine ka hissa toh bech denge . Le lijiye ... ## MISHRA : 20 laaiyega agle hafte . ## ,Pappu ki scooter ki dukaan hai,entailment,"Mishra: How much? ## Reader: At present it is 30. ## Mishra: Next is Pappu's shop for scooter... Borrow in between two. You will also get 10-15 isca. ## Reader: No, now we are working... a jugaad is sitting... for sure now the money will be there. If you give a bike in between... ## Mishra: It will not do retail. (returns packet to reader) How many times do you have to speak? ## Reader : It didn't happen till next week. Take it... ## Mishra : Will bring 20 next week. ,",Pappu has a scooter shop
151,PANDIT : Kyun bhai Raje babu aajkal darshan nahi hote aapke .. ## PANDIT : Bhagwaan ki zarurat nahi rahi aapko ? Hain ? Ki vishwas hi uth gaya ? Kahin naastik toh nahi ho gaye ? ## BAUJI : Nahi Pandit jee- Maine ek phaisla kiya hai- ki jis sach ko main dekh nahi sakta usey main nahi swikarunga .. ## PANDIT : Toh kya chahte ho Bhagwaan swayam prakat ho jaaye tumhare samne ? ## BAUJI : Aisa kuchh prabandh karwa sakte hain Pandit jee ? ## PANDIT : Jyada sayane ho gaye ho Raje babu ? Na dharm mein vishwas rah gaya hai no ishwar mein .. Pachhtaoge pachhtaoge .. ## ASHOK : Mujhe pass kar diya tayaji .. ## BAUJI : Wah mere bete- wah ! ## BAUJI : Khao bhai munh meetha karo- Itni badhiya khabar sunayi hai mere bachhe ne .. ## ,ASHOK paas ho gaya hai,entailment,"Pandit : Why brother Raje babu do not see you nowadays.. ## Pandit: You are not in need of God? Is? That faith was lost? Have you become an atheist? ## Bauji: No, Panditji- I have made a decision- that I will not accept the truth which I cannot see.. ## Pandit: So what do you want God Himself to be light in front of you? ## Bauji: Can Panditji get such management done? ## Pandit: Have you become more mature, Raje Babu? I have no faith in religion nor in God.. you will repent.. ## Ashok: passed me Taiji.. ## Bauji: eat brother sweeten your mouth - my child has told such a wonderful news.. ##",Ashok has passed
152,RANVEER : Lanes kyun band kar rakhi hain ? ## RANVEER : Toh ? ## MEERA : Kya hua ? ## RANVEER : Huh ? ## MEERA : Kya bol raha tha wo ? ## RANVEER : Nah ... nothing . Some random fight . ## ,RANVEER ne kaha ki Koi bhi baat nahin hai. ,contradictory,"Ranveer: Why are you closing the lane? ## Ranveer: So? ## Meera: What happened? ## Ranveer: Huh? ## Meera: What was he saying? ## Ranveer: No... nothing. Some random fight. ,",Ranveer said that there is nothing.
153,"FATHER : Garage mein hathoda pada hai . Ghar ki baaki cheezein bhi todh do ... TV , Fridge , AC ... ## RAHUL : Meri galti thhi Dad . Mujhe gaadi chalana seekhna thha . ## ARJUN : Bas ? Yeh toh daantne ke naam pe insult thha yaar . Tujhe naalayak , nikumma aur gadha bolna toh bhool hi gaye . ## MOTHER : Arjun ! Rahul ! Dadu bula rahe hain . ## ",RAHUL ko gaadi chalana seekhna tha,entailment,"Father: The hand is lying in the garage. Give everything else in the house... TV, Fridge, AC... ## Rahul: My father was wrong. I wanted to learn to drive. ## Arjun : Bass? It was an insult to Dante's name, man. Forgot to call you hero, worthless and gadha. ## Mother: Arjun! Rahul ! Grandpa is calling. ,",Rahul had to learn to drive
154,"ANKIT : Kya bola doctor ? ## RAJVEER : Vohi jo itney din se bol raha hai ! Kabhie kuch h seedha bo ltey hain doctors ? ## VISHWA : Phir bhi kab tak theek - ## RAJVEER : Dekhety hain dekhtey hain bol raha hai ! What else will he say ? Kuchh nahi ho sakta bolega toh fees toh gayi na uski ! (sigh s the n mil dly aggressive) Voh Minal mujhe mil jaaye ne abhie , main usey - ## ANKIT : Mil ja yeg i .. . j al di ! Tu m d ekh o aagey kya hota hai Rajvir !!! ## VISHWA : Tu wahan tha bhi nahin Ankit Please chaabi lagana bandh kar .. ## ANKIT : Jo kar rahein hain ussey dar lag raha hai tujhe ? ## ",ANKIT keh raha hai ki Minal jaldi mil jaayegi. ,entailment,"Ankit: What did the doctor say? ## Rajveer: The one who has been speaking since so many days! If something is okay then is the doctor? ## World: Still how long it is fine - ## Rajveer: Let's see, let's see. What else will he say? If nothing can happen, then the fee has gone to him or her! (Ah s the en mil daily aggressive) Woh minal me mil jaye ne abhi, I use - ## ankit: mil ja ye mein .... J Al Di! Tu md ak o what happens next Rajveer !!! ## World: You were not even there Ankit please stop putting the key.. ## Ankit: Are you afraid of what you are doing? ,",Ankit has been saying that Meenal will be found soon.
155,"GOPI : Arey budhda kar lega- dekhna tu- Main kah raha na kar lega .. ## GOPI : Aayiye Bauji- aayiye .. Bauji aapse ek kaam hai- Mera ek dost hai , Harmeet- bada purana dost hai- Ussne na mere kuchh paise dene hai- karib 40 , 000/- Mujhe khud maangte huye itna sankoch hota hai .. ## BAUJI : Arre ismein sankoch ki kya baat hai- Paise ke liye sankoch nahi karna chahiye .. ## GOPI : Agar aap usey ek baar yaad dila dete- Meri taraf se toh bahut ahsaan hota aapka .. ## BAUJI : Bus ab aur sharminda mat karo mujhe .. Main jaoon , khelne ? Bauji leaves . Gopi smiles at his goon . ## ",Harmeet GOPI ka purana dost hai,entailment,"Gopi: Hey Buddha will do - see you - I will not say. Deta- I would have felt a lot like you.. ## Bauji: Just don't embarrass me anymore.. I go, Bauji leaves to play. Gopi smiles at his goon. ,",Harmeet is Gopi's Puranic friend
156,"KHALUJAN : Babban ..? ## BABBAN : Haan ! Poore plan ki ammi aapa karne mein lage ho tum ! ## KHALUJAN : Haramzade ! Kutte ! Jis thali mein khata hai usee mein chhed karta hai ! ## BABBAN : Khalu .. Kya kar rahe ho ? Paagal ho kya ? ## KHALUJAN : Tujhse kaha tha maine ki agar Begum par zara si bhee aanch aayee to tujhe jibah kar doonga main . ## BABBAN : Lag rahee hai yaar . Ruko toh ! Meri baat suno . ## KHALUJAN : Harami ke pilley ! Bol kiske liye kaam kar raha hai tu ? Bol , kisne karvai hai ye kidnapping ? ## BEGUM PARA : Humne . ## ",KHALUJAN  Begum ko jibah kar dega. ,contradictory,"Khalujan: Babban..? ## Babban: Yes! You are busy doing the whole plan of your mother! ## Khalujan: Haramzaade! Cats! He makes a hole in the plate he eats. ## Babban: Khalu.. what are you doing? Are you mad? ## Khalujan: I told you that if the Begum gets any heat, I will make you live. ## Babban: It is looking man. Wait it! Listen to me. ## Khalujan : Puppy of the Harami! Who are you working for? Say, who has done this kidnapping? ## Begum Para : We. ,",I will jiba Khalujan Begum.
157,TIA : Thank you for these ! ## ARJUN : You are welcome ... ## TIA : Toh tum aur kitne din ho yahan ? ## ARJUN : Do ... aur Tum ? ## TIA : Do din aur ruk jao . ## ARJUN : It's a tempting offer . Aur waise bhi main soch raha tha Boobly se kuch tips le lun .. Maybe then I could impress you .. ## TIA : I had a good time .. Thank you ! Keep working on the chest shake .. ## TIA : Bye . ## ,ARJUN yahan do din aur hai,entailment,"TIA: Thanks for these! ## Arjun : You're welcome... ## TIA : So how many more days are you here? ## Arjun: Do... and you? ## TIA: Wait two more days. ## Arjun: This is a tempting offer. and anyway i was thinking take some tips from bubbly..maybe then i can impress you..##TIA:I had a great time..thanks! Keep working on the chest shake.. ## TIA: Goodbye. ,",Arjun is here for two more days
158,"NOORUDIN : Haan . ## SHAHID : Yeh Nepal mein hua tha ? ... ## NOORUDIN : Haan . ## SHAHID : Apne Nepal mein hone ka kuuch proof hai tumahare paas ? ## SHAHID : Agar yeh map is pant se baramad hui hai toh (He moves forward and is about to pick a trouser) ## JUDGE : Wear a glove .. He picks up the blood soaked trouser anyways ... ## SHAHID : Is pant ki colour bata sakta hai koi ? Tajjub yeh hai , ki is map mein khoon ka ek katra nahin , jab poori pant , khoon ke rang se rang badal chuki hai . Sach to yeh hai ki map plant kiya gaya tha us pocket mein ... Yeh map asliyat mein vahaan tha nahin ... ## PROSECUTOR : Objection . Defence .. ## JUDGE : Noted ... ## SHAHID : That's all your honour . ## ",SHAHID keh raha hai ki yeh map asliyat mein vahaan tha.,contradictory,"Nooruddin: Yes. ## Shahid: This happened in Nepal? ... ## Nooruddin : Yes. ## Shahid: Do you have any proof of your being in Nepal? ## Shahid : Agar ye map hai pant se baramad hai toh hai (he moves ahead and is about to take trousers) ## Judge : Wear gloves.. He picks up blood soaked trousers anyway... ## Shahid : Can anyone tell the color of the pant? The surprising thing is that there is not a single drop of blood in the map, when the whole pant has changed color from the color of blood. The fact is that the map was planted in our pocket... this map was actually not there... ## Prosecutor: Objection. Defense..##Judge: Noted...##Shahid: That's your pride. ,",Shahid is saying that this map was actually there.
159,"OLD LADY : khadi thi .. hai na .. ## RAGHAVAN : toh aapne us aadmi ko andar dekha , aapke pote ke saath baitha tha na .. sula raha tha .. doodh pila raha tha , hai naa .. ## OLD LADY : han .. ## RAGHAVAN : toh tabhi shaql dekha rahega aapne .. hai na .. wo shaql aisa tha kya .. ## RAGHAVAN : ye aadmi nahi tha ## OLD LADY : nahi tha .. ye aadmi nahi tha .. ## RAGHAVAN : Amma shaql toh yahi tha na .. Amma ek baar bol do yehi aadmi tha .. ## OLD LADY : nahi tha .. ye aadmi nahi tha .. ## ",OLD LADY ne uss aadmi ko dekha jo uske pote ke saath khel raha tha,entailment,"Old lady: Khadi was there.. isn't it.. ## Raghavan: So you saw us man more, was sitting with your grandson or not.. was sleeping.. was feeding milk, right the child.. ## old : Han .. ## Raghavan: So Tabi look will be seen by you. ## Raghavan : Amma Shakal Toh tha tha na .. Amma tell me once this was a man .. ## Old lady : No .. It was not a man .. ##",The old lady saw the man who was playing with her grandson
160,"THE TEACHER : Farm bharne ki fees paanch sau rupaye hai . ## THE TEACHER : Chahiye toh , pharam abhi le jao , fees baadmein bhar dena . ## PREM : Pharam kitte ka hai ? ## THE TEACHER : Das rupaye . Prem gives a ten rupee note and buys the form from the teacher . ## ",Form 50 rupees ka hai,contradictory,"Teacher: The fee for filling the form is five hundred rupees. ## The Teacher: If you want, still take it, pay the fees later. ## Prem : Then how much is it? ## Teacher : Slave Rupees. Prem gives ten rupee note and buys the form from the teacher. ,",Form is of Rs.50
161,"ISHAAN : Sun toh meri baat .. sorry yaar .. ## ISHAAN : Hud ho gayi yaar zid ki ? Kya karoon ? Aarti utaarun teri ?? Pairon pe girgiraoon ? ## OMI : Kya kar raha hai ? Pagal ho gaya kya ? ## ISHAAN : Apne paapon ka prayashchat kar raho hoon , bhugwun .. ## OMI : Wahan pe .. paapiyon ke liye woh line hai .. Wahan jake maafi maang . ## ISHAAN : Omi yaar .. kya hai ye ? main tera bhai nahi hoon ?? ab chhod na gussa .. ## OMI : Bas bahut ho gaya Ishaan . ## OMI : Tu apna chhor ke kisi ka nahi hai .. ## ",OMI ISHAAN se keh raha hai ki mujhse maafi maango. ,contradictory,"Ishaan: Hear my words.. Sorry man.. ## Ishaan: Hud ho gayi yaar stubbornness? what to do Aarti Utran Teri?? Girgiron on the pair? ## OMI : What are you doing? Have you gone crazy? ## Ishaan: I am atonement for your sins, Bhugwan.. ## Ishaan: Omi man.. what is this? I'm not your brother?? Don't get angry now.. ## OMI: Enough is enough, Ishaan. ## OMI: You are not your end.. ##",Omi is telling Ishaan to apologize to me.
162,BHAIRAV : Gaadi chalaana kahan seekha ? ## ROHAN : School mein ... chuttiyon mein hum Mr . Pasli ki gaadi chalaate the ... saaf karte the ... uska mujhe pocket money milta tha ... ## BHAIRAV : Tumhaare baare mein aur kya hai jo hum nahin jaante ? ## BHAIRAV : Cigarette peete ho ? ## ROHAN : Nahin . ## BHAIRAV : Sharaab ? ## ROHAN : Nahin . ## BHAIRAV : Girlfriend hai koi kahin ? ## ROHAN : Nahin . ## BHAIRAV : Sex kiye ho ? ## ROHAN : NO ! Aap so jaao ... ## BHAIRAV : Awaaz ooncha mat karo ... ## BHAIRAV : Apne baap ke liye koi izzat nahin hai tumhaare andar ... ## ,ROHAN  Cigarette Nahin peeta hai. ,entailment,Bhairav: Where did you learn to drive? ## Rohan : In school... during the holidays we are Mr. Used to drive rib cart... used to clean... I got pocket money for that... ## Bhairav: What's more about you that we don't go? ## Bhairav: Are you smoking cigarettes? ## Rohan: No. ## Bhairav ​​: Sharab? ## Rohan: No. ## Bhairav: Is there a girlfriend? ## Rohan: No. ## Bhairav: Have you had sex? ## Rohan: No! You go to sleep... ## Bhairav: Don't raise your voice... ## Bhairav: You have no respect for your father... ##,Rohan does not smoke cigarette.
163,DOCTOR : Maine dekhe the ... lekin bolta to pata nahin tumhaare father kaise react karte ... ## DOCTOR : Ye unhone kiya tha ? ## DOCTOR : Tumhari mummy kahan hai ? ## ROHAN : Nahin hai ... Arjun ki mummy bhi nahin hai . ## DOCTOR : Tum chaaho to police mein complain kar sakte ho ... ## ROHAN : Vah kya karenge ? ## DOCTOR : Tumhaare papa ko pakadkar unse savaal karenge . Arjun se poochtaach karenge . Vah jo bhi karenge tumhaare papa dobaara kabhi aisa nahin karenge . Unke khilaaf kaafi mazboot case ban sakta hai . ## ROHAN : Vo roz roz aisa nahin karte ... ho sakta hai papa ne galti se jor se maar diya ho ... bhaag kar bhi vahi to le ke aaye the na ... ## ROHAN : Thank you ... ## ,ROHAN keh raha hai ki mummy  roz roz aisa nahin karti.,contradictory,"Doctor: I saw it... but I don't know how your father reacts when you say it... ## Doctor: He did it? ## Doctor: Where is your mother? ## Rohan : No... Arjun doesn't even have a mother. ## Doctor : You can complain to the police if you want... ## Rohan : Wow what will you do? ## Doctor: Will come to your father and ask him questions. Will ask Arjun. Wow, whatever you do, your father will never do this again. There could be a strong case against him. ## Rohan : He doesn't do this everyday... Maybe papa hit him hard with wrong... Even after running he had taken the same thing, didn't he... ## Rohan : Thanks... ##",Rohan is saying that mother does not do this everyday.
164,"RANI : Woh Chaddha uncle keh rahein the ki main unke wahan job kar loo jab tak shaadi hoti hai tab tak , unko bhi help ho jayegi ... jab se mini gayi hai koyi hai nahin unka haath bataaney ke liye ## RANI : Kar loon kya ? Shaadi ke baad chhod doongi ## VIJAY : kya zaroorat hai job wob karne ki , ## RANI : real job nahin hai ... khaana achha bana leti hoon to unhoney bola ... aisey hi ... ## VIJAY : To aisey hi ... merey liye bana na ... mainey roka hai ... aur shaadi ke baad ghar baith ke cooking hi to karegi ... aur phir mummy ko bhi theek nahin lagega ... ## RANI : achha ... mana kar doongi ## ",VIJAY keh raha hai ki job karne ki zaroorat hai. ,contradictory,"Rani: That Chaddha uncle is saying that I should do a job for him, till the time he gets married, he will also be helped... Ever since Mini has gone there is no one to show his hand ## Rani: What? I will leave after marriage ## Vijay: Is it necessary to do that job, ## Rani: It is not real work ... If you cook food well, then she said ... Just like this ... ## Vijay: So like this hi... banna for me na... i have stopped... and after marriage sit at home cooking hi toh karega... and then mommy also won't feel well... ## Rani : Well... ##",Vijay is saying that job is needed.
165,"GRAND DAD : Ye dekh .. Neetu ka face pack laga kar main kya chamak raha hun .. Lag raha hun heroine ya nahin .. Ab meri twacha se meri umar ka pata hi nahin chalta ## WASIM : Ab kya bolun aapko dadu .. Itne hot lag rahe ho , agar meri dadi zinda hoti na .. toh pukka aap dono ki setting kar leta . ## GRAND DAD : Teri maa toh zinda hai na ? ## GRAND DAD : Jaldi kar jaldi .. Aur sab ko bula .. Hum sab ready hain .. ## ",WASIM ne apni daadi ki setting Grand Dad se karwa di,contradictory,"Grand Dad: See this.. what am I glowing by applying Neetu's face pack.. I am feeling heroine or not.. Now my age is not known by my tawacha ## Wasim: What should you say now Dadu.. You are looking so hot, if my grandmother was not alive.. then surely you would have set the setting for both. ## Grand Dad: Is your mother alive? ## Grand Dad: Hurry up.. and call everyone.. We are all ready.. ##",Wasim got his grandmother's setting done by Grand Dad
166,"MRS.KAPOOR : hello babyyyy ! Site visit kaisi thi ? ## RAHUL : Theek thi . ## RAHUL : Mom main aapko kuch bataana chahta hoon . ## MRS.KAPOOR : Ofcourse .. Sure ! ## MRS. KAPOOR : Pehle tum mujhe batao . ye ya ye ? Ye na ? This is so average .. I like to be unique . Don't you ? ## MR.KAPOOR : Oh look who's here ... Mr . Surprise himself . ## MR.KAPOOR : Tum wapas kab jaa rahe ho ? ## RAHUL : 5th ko . ## MR.KAPOOR : Good , Bulani aur Shah agle hafte tak shaayad deal lock kar dein . Main 4th ko unhein dinner pe bulane ki soch raha hun . ## MRS.KAPOOR : Unki biwiya bhi aayengi ? ## MR.KAPOOR : Tum aane waali ho na ? ## MRS. KAPOOR : Tum kya keh rahe the beta ? ## MR.KAPOOR : Surprise us ! ## RAHUL : Nahi .. Nothing important . ## ",RAHUL mom ko kuch batana chahta hai,entailment,"Mrs. Kapoor: Hello babyyya! How was the site visit? ## Rahul: It was fine. ## Rahul : Mother, I want to tell you something. ## Mrs. Kapoor : Absolutely.. Sure! ## mrs. Kapoor: First you tell me. you are you Isn't this It's so average.. I like to be unique. not you? ## Mr. Kapoor : Oh look who is here... Mr. Surprise yourself ## Mr. Kapoor: When are you going back? ## Rahul : On the 5th. ## Mr. Kapoor: Well, Boolani and Shah may lock the deal till next week. I am planning to invite Chauth to an unofficial dinner. ## Mrs Kapoor : His wife will also come? ## Mr. Kapoor: You are going to come, aren't you? ## mrs. Kapoor: What were you saying son? ## Mr. Kapoor : Shock us! ## Rahul: No.. nothing special. ,",Rahul wants to tell mother something
167,"VEDANT : Sir I'd like to request to assign an investigative officer on the double murder case .. ## VEDANT : Sir main is case mein Ashwin ke saath pehle din se involved raha hoon , Main kuch bhee koshish kar loon mere nazariye ka betarafdar hona bada mushkil hai . Behtar hoga ki koi Investigating officer tehqiqaakt kare aur main door reh kar observe karoon . Tarazu ke kaante ki tarah na idhar na udhar . ## JK : Do you have anybody in mind ? ## VEDANT : Manhor ya Bhattacharya ? ## JK : They both have their hands full .. ## VEDANT : What about Paul Saab ? ## JK : Paul Saab .. ## ",VEDANT Khud ko Prejudiced keh raha hai. ,entailment,"Vedanta : Sir I want to request to appoint an investigating officer in double murder case .. ## Vedanta : Sir I have been involved with Ashwin in the case from day one, I will try whatever my point of view is son. It's very difficult. It would be better if some investigating officer investigates and I stay away and observe. Neither here nor there borrow like the fork of the scale. ## JK: Do you have someone on your mind? ## Vedanta: Manhor or Bhattacharya? ## JK: Both have full hands.. ## Vedanta: What about Paul Saab? ## JK : Paul Saab .. ##",Vedanta is calling itself prejudiced.
168,"MIKHAELO : You came ## TIM : What happened ? You were meeting that guy , no ? ## RANI : yes ... par tum logon se bhi to milna tha ## LEE COOPER : woohooo ## RANI : Haye ram ! Kya jagah hai ## ",MIKHAELO and TIM RANI ko aaya dekh kar surprised ho gaye. ,entailment,"Michael: You came ## Tim: What happened? You were meeting that man, no? ## Rani : Yes... but I had to meet you guys too ## Lee Cooper : Woohoo ## Rani : Hi Ram! What is the world ##",Mikhailo and Tim are surprised to see Rani come.
169,"SHAHID : Mujhe yakin hai . They all look elated . Shahid stands up . ## SHAHID : Kuuch hota hai toh batata hoon . Starts walking as the bickering begins .. ## 5TH MAN : Tu kya bol raha tha abhi . ## FIRST MAN : Jo bola suna nahin kya ?... ## 5TH MAN : Ruk tere ko batata hoon , leader banta hai tu yahaan ka . Shahid turns back . ## SHAHID : Apne mein ladna band karo . ## 6TH MAN : Arrey inka roz ka hai , aap jao bhai . ## ",5TH MAN ne FIRST MAN ko sabak sikhane ki dhamki dee. ,entailment,"Shahid: I am sure. They all look excited. Shahid stood up. ## Shahid: If something happens, I will tell. Discord starts going on as soon as it starts.. ## 5th man: What were you talking about now. ## First man: Didn't hear the one who said? ## 5th man: I tell you, the leader is banta hai, you are here. Shahid turned back. ## Shahid: Stop bringing in yourself. ## Sixth Man: Hey it's daily, you go brother. ,",The 5th man threatened to teach the first man a lesson.
170,RANI'S MOM : ye india se baahar jaa ke sab angrez bann jaatey hain ## RANI'S MOM : Rani ?? ## RANI'S MOM : Tu theek hai ? suitcase kidhar hai ? Tu kitni patli ho gayi hai ... foreign se kaali ho ke aa gayi hai ? Chhatri nahin use ki ? yeh kya boy cut sa kara liya hai ## RANI'S DAD : To kya hua ... Foreign return ho gayee hai ## ,Rani ka suitcase kho gaya. ,contradictory,Queen's Mother: They all become English after going out of India ## Queen's Mother: Rani ?? ## Queen's Mother: Are you okay? where is the suitcase? How patriotic have you become... Have you come from a foreigner to black? Don't use an umbrella? Yeh kya boy cut sa kar hai hai ## Rani's father: So what happened... the foreign return has happened ##,The queen's suitcase is lost.
171,"SOHAIL : Bhai case wapas lena hi hoga ? ## SHAHID : Par kyon ? ## SOHAIL : Jo ho gaya usko badal sakte kya . Phir ? ## SHAHID : Sohail , phir yahi hota rahega . ## SOHAIL : Abu chahta hai . ## SHAHID : Abu ? Shahid stands .. ## SOHAIL : Bhai mat jao . Woh maar dalega sab ko .. Sohail starts crying . ## SHAHID : Theek hai . Shahid comes out of jail . He opens his car door and wham ... he bangs it back in anger . ## ",Co is crying,entailment,"Sohail: Brother, the case has to be withdrawn? ## Shahid: But why? ## Sohail: Can you change what happened? Why? ## Shahid: Sohail, then this will continue to happen. ## Sohail : Abu wants. ## Shahid: Abu? Shahid is standing.. ## Sohail: Brother don't go. He will kill everyone.. Sohail started crying. ## Shahid: Okay. Shahid comes out of jail, he opens the door of his car and wham... he angrily beats her back. ,",cum crying
172,"TIA : Listen kal jo hua uske liye I am sorry .. Mujhe nahin pata tha ki dadu-- ## ARJUN : --Are you crazy .. I'm sorry .. Normally , meri family aise kabhi nahin behave karti-- Correction .. I mean ""public"" mein aise kabhi nahin behave karti .. ## TIA : Relax .. Har family mein ladai hoti hai .. ## ARJUN : Humari family mein kuch zyaada hi hoti hai .. ## TIA : You should be happy ki tumhari family toh hai ## ARJUN : Tum apne parents ko bahut miss karti ho ? ## TIA : Toh .. Tum apne tombstone pe kya likhoge ? ## ARJUN : Aakhri baar likh rahah hun .. Ho sakey toh kahaani yaad rakhna ## TIA : Wow .. Thats impressive .. ## ",TIA should be happy ke uski family toh hai,contradictory,"TIA: Listen I'm sorry for what happened yesterday.. I didn't know that Dadu-- ## Arjun:-- are you mad.. I'm sorry.. Normally, my family never behaves like this- - Correction.. I mean never behave like this in ""Public"".. ## TIA: Relax.. Every family has a fight.. ## Arjun: We have too much in our family.. ## TIA: You should be happy that you have a family ## Arjun: You miss your parents a lot? ## TIA : So.. what will you write on your tombstone? ## Arjun: I am writing for the last time.. for the sake of it, remember the story ## TIA: Wow.. Impressive.. ##",TIA should be happy that he has a family
173,PAUL : Aapney statement diya hai ki uss raat Rajpal aap logon ke saath raat 12 . 30 tak tha . ## NATHANI : Main Dehradoon se wapas aa rahee thee . Natahani Saab aur Rajpal mujhe pick karney aaye thhey station . 11 . 30 baje hum ghar waapas pahunche . Mera vrat tha to maine 12 baje ke baad khana khaya aur lagbhag 12 . 30 baje hum sone gaye . ## SANGA : Dr . Tandon ke yahan pahunchne mein andaazan kitna waqt lagta hai yahan se . ## NATHANI : 40 minute maximum . ## PAUL : Paidal ? ## NATHANI : Ji .. ## PAUL : Aur cycle pe ? ## NATHANI : 20 minute ... ## ,Yahan se Dr. Tandon ke yahan paidal pahuchne mein 1 hour lagta hai,contradictory,"Paul: You have given the statement that that night Rajpal was with you till 12.30 pm. ## Nathani : I was coming back from Dehradun. Natahani Saab and Rajpal had come to pick me up at the station. 1 1 Before 30 o'clock we return home. I had a fast, so I ate food after 12 o'clock and almost 12. We went to sleep at 30. ## Sanga: How long does it take to reach Dr. Tandon from here? ## Nathani : Maximum 40 minutes. ## Paul : Pedal ? ## Nathani : Yes.. ## Paul : And on the cycle? ## Nathani : 20 mins... ##",From here it takes 1 hour to reach Dr. Tandon's pedal.
174,RANI : honeymoon pe ... pata hai ... eleventh se jama kar rahi hoon ... aur ab to joint account kholna hi hai ... ## FEMALE CASHIER : Goa ? ## RANI : Arey nahi ... foreign trip hai ... Paris aur amsterdam ! fifty fifty kiya hai .. Paris ka main de rahi hoon ... aur amsterdam ka voh ... baaki shopping ke liye bacha ke rakha hai ... ## FEMALE CASHIER : To phir kab ? ## RANI : Bus ... one month mein ... shaadi ke next day hi chaley jaana hai humney ## ,RANI honeymoon pe Goa ja rahi hai. ,contradictory,Rani : Honeymoon pe... know... I have been depositing since eleventh... and now have to open joint accounts... ## Lady Cashier: Goa? ## Queen : Oh no ... traveling abroad is ... Paris and Amsterdam! Fifty fifty done.. from Paris I am giving... and that of Amsterdam... is left for shopping... ## Lady Cashier: Then when? ## Rani : That's it... in a month... we have to leave on the next day of marriage ##,Rani is going to Goa on Honeymoon.
